request_id,npu_id,role,profile,C_ms,V_per_ssu_GiB,B_per_ssu_GiB_s,original_request_id,matches_raw_data,layer,compute_start_ms,compute_end_ms,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,barrier_budget_end_ms,full_io_stall_ms,warm_io_stall_ms,warm_compute_ms,warm_queue_ms,kind
10000041,10,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100075440,False,6,3647.5354385491632,3649.450359423523,3644.4824177263217,3647.5354385491632,,3646.3973386006815,1.1380999484817949,1.1380999484817949,1.9149208743597228,0.0,internal_L1_to_L7
8000042,8,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100060686,False,4,3646.9395828362726,3648.8545037106323,3643.8208874791803,3646.9395828362726,,3645.73580835354,1.2037744827325696,1.2037744827325696,1.9149208743597228,0.0,internal_L1_to_L7
12000041,12,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100090158,False,4,3647.078056347015,3648.9929772213745,3643.972374100746,3647.078056347015,,3645.8872949751058,1.1907613719090477,1.1907613719090477,1.9149208743597228,0.0,internal_L1_to_L7
9000042,9,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100068027,False,3,3645.676536571624,3647.591457445984,3643.368126053871,3645.676536571624,,3645.2830469282308,0.39348964339342274,0.39348964339342274,1.9149208743597228,0.0,internal_L1_to_L7
15000042,15,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100110410,False,1,3645.2107620354914,3647.125682909851,3643.2262950697354,3645.2107620354914,,3645.141215944095,0.06954609139620516,0.06954609139620516,1.9149208743597228,0.0,internal_L1_to_L7
15000042,15,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100110410,False,6,3655.012908129241,3656.927829003601,3652.8704455329303,3655.012908129241,,3654.78536640729,0.22754172195118372,0.22754172195118372,1.9149208743597228,0.0,internal_L1_to_L7
13000043,13,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100097865,False,1,3646.121330272796,3648.036251147156,3643.4044182425805,3646.121330272796,,3645.3193391169402,0.8019911558558306,0.8019911558558306,1.9149208743597228,0.0,internal_L1_to_L7
13000043,13,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100097865,False,6,3656.6536094231865,3658.568530297546,3653.781013770235,3656.6536094231865,,3655.6959346445947,0.9576747785918087,0.9576747785918087,1.9149208743597228,0.0,internal_L1_to_L7
11000042,11,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100082676,False,0,3647.799797069671,3649.714717944031,3644.84328808765,3647.799797069671,,3646.7582089620096,1.0415881076614824,1.0415881076614824,1.9149208743597228,0.0,cross_request_L0
11000042,11,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100082676,False,4,3656.309523729827,3658.224444604187,3653.54455969275,3656.309523729827,,3655.45948056711,0.8500431627171565,0.8500431627171565,1.9149208743597228,0.0,internal_L1_to_L7
14000043,14,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100106023,False,4,3657.001891283538,3658.9168121578978,3654.1922381354693,3657.001891283538,,3656.107159009829,0.8947322737089962,0.8947322737089962,1.9149208743597228,0.0,internal_L1_to_L7
10000042,10,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100075447,False,2,3655.4618979974052,3657.376818871765,3653.2802011722424,3655.4618979974052,,3655.195122046602,0.266775950803094,0.266775950803094,1.9149208743597228,0.0,internal_L1_to_L7
8000043,8,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100060726,False,1,3657.3082114739677,3659.2231323483275,3654.5992663337115,3657.3082114739677,,3656.5141872080712,0.7940242658964962,0.7940242658964962,1.9149208743597228,0.0,internal_L1_to_L7
12000042,12,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100090288,False,1,3656.9934989495537,3658.9084198239134,3654.7377398444537,3656.9934989495537,,3656.6526607188134,0.3408382307402462,0.3408382307402462,1.9149208743597228,0.0,internal_L1_to_L7
9000043,9,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100068088,False,0,3655.9108878655693,3657.825808739929,3653.336220069063,3655.9108878655693,,3655.251140943423,0.6597469221464962,0.6597469221464962,1.9149208743597228,0.0,cross_request_L0
