scenario,policy,seed,request_id,npu_id,profile,category,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,equal_seed_weight
full,static,43,14000013,14,L160_M2048,LL,3521.978231294693,4156.817058270363,634.8388269756701,458.55018171426593,1.384447880060495,True,True,0.0017452006980802793
full,static,43,15000004,15,L160_M256,LS,2081.555609764986,2141.2440658999876,59.688456135001616,58.92951067026337,1.012878869281384,True,False,0.0017452006980802793
full,static,43,15000005,15,L160_M4096,LL,2141.2440658999876,3294.6645650515475,1153.4204991515599,915.9373744307104,1.2592787796965421,True,False,0.0017452006980802793
full,static,43,15000006,15,L160_M2048,LL,3294.6645650515475,4062.441834848072,767.7772697965247,458.55018171426593,1.6743582282013922,False,True,0.0017452006980802793
full,static,43,16000004,16,L80_M4096,SL,2589.1382010449533,3075.5790278289687,486.44082678401537,486.44082678401566,0.9999999999999994,True,False,0.0017452006980802793
full,static,43,16000005,16,L80_M256,SS,3075.5790278289687,3107.664992803014,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,0.0017452006980802793
full,static,43,16000006,16,L128_M2048,LL,3107.664992803014,3773.305525554442,665.640532751428,372.6508694745985,1.7862309933421503,False,False,0.0017452006980802793
full,static,43,16000007,16,L32_M2048,SL,3773.305525554442,3888.2583465314415,114.95282097699965,114.952820977,0.9999999999999969,True,False,0.0017452006980802793
full,static,43,16000008,16,L80_M2048,SL,3888.2583465314415,4132.060206882259,243.8018603508176,243.80186035081854,0.9999999999999961,True,True,0.0017452006980802793
full,static,43,17000007,17,L160_M256,LS,2411.5234515798325,2484.0919899966675,72.56853841683505,58.92951067026337,1.2314464788769088,True,False,0.0017452006980802793
full,static,43,17000008,17,L64_M1024,SL,2484.0919899966675,2605.3430674495826,121.25107745291507,101.00752608339441,1.2004162675245313,True,False,0.0017452006980802793
full,static,43,17000009,17,L64_M4096,SL,2605.3430674495826,3005.884427135093,400.54135968551054,400.5413596855101,1.000000000000001,True,False,0.0017452006980802793
