panel,strategy,input_fingerprint,npu_id,request_id,home_ssu,admission_time_ms,completion_time_ms,clipped_start_ms,clipped_end_ms
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,13,13000002,3,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,17,17000002,4,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,21,21000002,5,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,25,25000002,6,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,29,29000002,7,101.1345157651702,139.3464572730943,101.1345157651702,139.3464572730943
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,0,2,0,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,5,5000002,1,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,8,8000002,2,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,12,12000002,3,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,16,16000002,4,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,20,20000002,5,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,24,24000002,6,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,28,28000002,7,102.19194984720146,140.40389135512555,102.19194984720146,140.40389135512555
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1,1000003,0,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,4,4000003,1,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,9,9000003,2,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,13,13000003,3,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,17,17000003,4,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
