experiment,case,ssu,seed,strategy,window_utilization,full_run_utilization,makespan_ms,request_count,compute_ms,processing_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,mean_io_stall_ms,mean_admission_wait_ms,admission_slo_passed,arrival_slo_passed
coflow,npu32_ssu6_arrival218_seed20260906_strategy3,6,20260906,strategy3,0.9798554383228001,0.9107386292911975,4837.397728959974,192,2229.008186267369,2358.1578730212073,0.9452328072554468,0.9617000409549115,0.3703913354488095,0.6726546185095209,790.4430683292067,183,1
coflow,npu32_ssu6_arrival218_seed20260907_baseline,6,20260907,baseline,0.9872580830182149,0.9023091224548306,4882.589422373819,192,2229.008186267369,6768.7903189912495,0.3293067270843688,0.49954299292105464,0.0572691058970949,23.64469860793683,832.4149088923085,61,0
coflow,npu32_ssu6_arrival218_seed20260907_new_once,6,20260907,new_once,0.9903139637558476,0.9227107353107371,4774.632838237981,192,2229.008186267369,2259.1739674814644,0.9866474288176558,0.9904488040857776,0.598006738300195,0.1571134438233598,824.6632481199064,189,4
coflow,npu32_ssu6_arrival218_seed20260907_once,6,20260907,once,0.9821530377888557,0.9164823502363914,4807.081092039586,192,2229.008186267369,2288.5401363962783,0.9739869320261724,0.9854578722361298,0.43678246988012576,0.3100622402546978,839.1785382897239,189,4
coflow,npu32_ssu6_arrival218_seed20260907_strategy1,6,20260907,strategy1,0.9823127876061303,0.8953941744373627,4920.296672443396,192,2229.008186267369,2355.8233805766513,0.9461694813987963,0.9534561585297984,0.573191250298099,0.6604958036940689,737.9545945951066,191,5
coflow,npu32_ssu6_arrival218_seed20260907_strategy2,6,20260907,strategy2,0.9807809425208291,0.9093495804619262,4844.786946260451,192,2229.008186267369,2326.7862363039426,0.957977209719148,0.9662266199232682,0.6145532695703949,0.5092606772737068,737.7146337907578,191,5
coflow,npu32_ssu6_arrival218_seed20260907_strategy3,6,20260907,strategy3,0.9882908406552682,0.9066278137952183,4859.331370573262,192,2229.008186267369,2315.346554516022,0.9627103907705513,0.9678648276747673,0.6026933174239323,0.4496790012949534,732.1646484695185,191,5
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0.9846682450443061,0.9619889561741154,4579.683528312736,192,2229.008186267369,4261.076711332555,0.523109142893205,0.6615927995120714,0.1262552619069789,10.583690234714444,813.0524141724735,106,0
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,0.9929210889095014,0.9712934984061402,4535.812279438509,192,2229.008186267369,2277.398476843854,0.9787519439094616,0.9849747410686801,0.5442471236117765,0.2520327634191218,803.3345885543389,186,2
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,0.9914442092560759,0.9684220251247636,4549.261440477643,192,2229.008186267369,2309.9125916178978,0.9649751225894388,0.9794687325329741,0.4037007231521828,0.4213771112006011,809.4189240263578,185,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,0.9955536848209464,0.9217045455331021,4779.845123212681,192,2229.008186267369,2312.0946332746034,0.9640644263381385,0.977945499689925,0.4094252521057416,0.43274191149594626,733.6387720310044,184,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,0.99732574399631,0.9221019038764037,4777.785360260871,192,2229.008186267369,2310.81452184952,0.9645984847296722,0.9782220882510662,0.4555119153536843,0.42607466449030645,731.8834936357781,184,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,0.9966789251954675,0.9229173701262195,4773.563830970958,192,2229.008186267369,2315.399587400676,0.9626883404474077,0.9766937208992559,0.45532721774839036,0.44995521423590795,729.6811783740022,184,1
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0.9911191914620184,0.9439257950135526,4667.321308817612,192,2229.008186267369,4426.369431831303,0.5035748191820426,0.6652965247758555,0.06994638987626003,11.444589820645403,760.7003383709772,109,0
coflow,npu32_ssu7_arrival218_seed20260907_new_once,7,20260907,new_once,0.9968489063621181,0.9512916340986821,4631.182298983977,192,2229.008186267369,2247.5919603260277,0.9917316957941232,0.9935682405566588,0.6646635609921779,0.09679048988873969,752.7386577843891,191,6
coflow,npu32_ssu7_arrival218_seed20260907_once,7,20260907,once,0.9967352075566126,0.9538913110291278,4618.560758516889,192,2229.008186267369,2280.434497169342,0.9774488980210537,0.9867426755979998,0.4758602038708138,0.26784536928101615,760.4718472615085,189,4
coflow,npu32_ssu7_arrival218_seed20260907_strategy1,7,20260907,strategy1,0.9970661177344923,0.9285188190542041,4744.76648895166,192,2229.008186267369,2248.3014809847473,0.9914187243656808,0.9937023167638283,0.6599527939636528,0.10048590998620525,651.0254221351219,191,5
coflow,npu32_ssu7_arrival218_seed20260907_strategy2,7,20260907,strategy2,0.9977759576291312,0.93205153868001,4726.782580337417,192,2229.008186267369,2258.7400941488904,0.9868369504049892,0.9915890032246786,0.6731663480617178,0.15485368688278647,649.0453374347056,192,6
coflow,npu32_ssu7_arrival218_seed20260907_strategy3,7,20260907,strategy3,0.9971439523992518,0.9299550186625295,4737.438788540055,192,2229.008186267369,2260.1869713340675,0.9862052186557402,0.9908208421999252,0.7232344230372293,0.16238950555558193,650.9822455155849,192,6
