input_fingerprint,start_ms,end_ms,reference_suite,reference_input,reference_strategy,reference_result,candidate_suite,candidate_input,candidate_strategy,candidate_variant,candidate_assignment,candidate_result,reference_utilization,candidate_utilization,delta_utilization_percentage_points,delta_makespan_ms,delta_admission_slo_percentage_points,reference_all_active,candidate_all_active
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy1,strategy1_fixed,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy1_fixed/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy1_fc5c4aa4c9.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy1,strategy1_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy1_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy1_6c75d74ceb.json.gz,0.522096271909234,0.04225725271928055,-47.98390191899535,10860.878377486808,34.05760905760906,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy2,strategy2_fixed,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy2_fixed/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy2_6c3a50412c.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy2,strategy2_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy2_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy2_b602b12632.json.gz,0.522096271909234,0.04226918556916458,-47.98270863400694,12630.13834200135,22.073759573759578,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy3,strategy3_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy3_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy3_b8e50b64c6.json.gz,0.522096271909234,0.042278758075115504,-47.981751383411854,12649.93805761661,22.169497169497177,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,native_assignment,strong32_local,deadline_fluid,deadline_fluid,fluid,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/native_assignment/runs/strong32_local/deadline_fluid/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_deadline_fluid_7b8c04b8db.json.gz,0.522096271909234,0.042305639769909205,-47.979063213932484,5285.914843261946,4.075091575091583,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,screen,strong32_local,once,once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_once_d8f13cde8c.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,screen,strong32_local,strategy3,strategy3,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/strategy3/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy3_1ce9a6556d.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2000.0,3000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,cross_environment,strong32_local,once,once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_once_d8f13cde8c.json.gz,0.522160043540584,1.0,47.7839956459416,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2000.0,3000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,deadline,deadline,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/deadline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_deadline_2214bb75d3.json.gz,0.522160043540584,1.0,47.7839956459416,-2616.0741959030765,35.86413586413587,True,True
