strategy,input_fingerprint,npu_id,request_id,layer,state,actual_start_ms,actual_end_ms,clipped_start_ms,clipped_end_ms
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,2,compute,1006.9544382202404,1007.4823470649959,1006.9544382202404,1007.4823470649959
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,3,compute,1007.4823470649959,1008.0102559097514,1007.4823470649959,1008.0102559097514
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,4,compute,1008.0102559097514,1008.538164754507,1008.0102559097514,1008.538164754507
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,5,compute,1008.538164754507,1009.0660735992625,1008.538164754507,1009.0660735992625
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,6,stall,1009.0660735992625,1014.6069863887205,1009.0660735992625,1014.6069863887205
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,6,compute,1014.6069863887205,1015.1348952334761,1014.6069863887205,1015.1348952334761
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,7,compute,1015.1348952334761,1015.6628040782316,1015.1348952334761,1015.6628040782316
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,0,compute,1015.604057740341,1016.1319665850965,1015.604057740341,1016.1319665850965
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,1,compute,1016.1319665850965,1016.659875429852,1016.1319665850965,1016.659875429852
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,2,compute,1016.659875429852,1017.1877842746076,1016.659875429852,1017.1877842746076
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,3,compute,1017.1877842746076,1017.7156931193631,1017.1877842746076,1017.7156931193631
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,4,stall,1017.7156931193631,1023.2566059088211,1017.7156931193631,1023.2566059088211
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,4,compute,1023.2566059088211,1023.7845147535767,1023.2566059088211,1023.7845147535767
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,5,compute,1023.7845147535767,1024.3124235983323,1023.7845147535767,1024.3124235983323
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,6,compute,1024.3124235983323,1024.8403324430878,1024.3124235983323,1024.8403324430878
