npu_id,request_id,profile,profile_seq_len_k,profile_nql,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
6,6,F,200,256,1,52.279205322265625,78.1695556640625,25.890350341796875,61.323115857522254,True,16.846439806540246,61.323115857522254,78.1695556640625,87.21346619931913,9.043910535256627,16.846439806540246
6,6,F,200,256,2,78.1695556640625,113.01788330078125,34.84832763671875,87.21346619931913,True,25.80441710146212,87.21346619931913,113.01788330078125,122.06179383603788,9.043910535256627,25.80441710146212
7,7,F,200,256,0,0.0,52.300286157226566,52.300286157226566,9.043910535256627,True,43.25637562196994,0.0,52.300286157226566,61.344196692483195,9.043910535256627,52.300286157226566
7,7,F,200,256,1,52.300286157226566,81.16152272949219,28.861236572265625,61.344196692483195,True,19.817326037008996,61.344196692483195,81.16152272949219,90.20543326474882,9.043910535256627,19.817326037008996
7,7,F,200,256,2,81.16152272949219,121.90872192382812,40.747199194335934,90.20543326474882,True,31.703288659079305,90.20543326474882,121.90872192382812,130.95263245908475,9.043910535256627,31.703288659079305
8,8,F,200,256,0,0.0,52.29608999023438,52.29608999023438,9.043910535256627,True,43.25217945497775,0.0,52.29608999023438,61.34000052549101,9.043910535256627,52.29608999023438
8,8,F,200,256,1,52.29608999023438,80.59084401855469,28.294754028320312,61.34000052549101,True,19.250843493063684,61.34000052549101,80.59084401855469,89.63475455381132,9.043910535256627,19.250843493063684
8,8,F,200,256,2,80.59084401855469,119.95246887207031,39.36162485351562,89.63475455381132,True,30.317714318258993,89.63475455381132,119.95246887207031,128.99637940732694,9.043910535256627,30.317714318258993
9,9,F,200,256,0,0.0,52.497406005859375,52.497406005859375,9.043910535256627,True,43.453495470602746,0.0,52.497406005859375,61.541316541116004,9.043910535256627,52.497406005859375
9,9,F,200,256,1,52.497406005859375,103.85848999023438,51.361083984375,61.541316541116004,True,42.31717344911837,61.541316541116004,103.85848999023438,112.902400525491,9.043910535256627,42.31717344911837
