id,mode,ssu,x,y,n_A,n_B,input_counts_A_B,A_total_length_k,A_nql,A_V_MB,A_C_ms,A_B_GB_s,A_constructed,A_extrapolated,B_total_length_k,B_nql,B_V_MB,B_C_ms,B_B_GB_s,B_constructed,B_extrapolated,paired_seed_count,seeds,expected_seed_count,all_pairs_matched,all_pairs_underloaded_and_active,series_point_complete_and_eligible,baseline_fleet_mean_pct,baseline_fleet_min_pct,baseline_fleet_max_pct,baseline_A_mean_pct,baseline_A_min_pct,baseline_A_max_pct,baseline_B_mean_pct,baseline_B_min_pct,baseline_B_max_pct,baseline_slo_all_mean_pct,baseline_slo_all_min_pct,baseline_slo_all_max_pct,baseline_slo_warm_mean_pct,baseline_slo_warm_min_pct,baseline_slo_warm_max_pct,once_fleet_mean_pct,once_fleet_min_pct,once_fleet_max_pct,once_A_mean_pct,once_A_min_pct,once_A_max_pct,once_B_mean_pct,once_B_min_pct,once_B_max_pct,once_slo_all_mean_pct,once_slo_all_min_pct,once_slo_all_max_pct,once_slo_warm_mean_pct,once_slo_warm_min_pct,once_slo_warm_max_pct,delta_fleet_mean_pp,delta_A_mean_pp,delta_B_mean_pp,delta_slo_all_mean_pp,delta_slo_warm_mean_pp,worst_full_ordinary_peak_GB_s,worst_full_pending_peak_GB_s
Y1,fixed,1,13.724137931034482,5.22246231790655,2,6,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,16,1536,20.905984,6.786636031061112,3.080463414321526,True,True,1,7,1,True,True,True,84.00088300766313,84.00088300766313,84.00088300766313,100.0,100.0,100.0,78.66784401022038,78.66784401022038,78.66784401022038,99.07063197026022,99.07063197026022,99.07063197026022,100.0,100.0,100.0,99.98854792644288,99.98854792644288,99.98854792644288,100.0,100.0,100.0,99.98473056859488,99.98473056859488,99.98473056859488,100.0,100.0,100.0,100.0,100.0,100.0,15.987664918779743,0.0,21.316886558374506,0.9293680297397771,0.0,34.673114552944824,34.67311455294483
Y2,fixed,1,13.758620689655173,2.622064169890368,1,7,,200.0,512,287.637504,17.794995171132317,16.163955158954806,False,False,16,1536,20.905984,6.786636031061112,3.080463414321526,True,True,1,7,1,True,True,True,99.24420273904818,99.24420273904818,99.24420273904818,100.0,100.0,100.0,99.1362317017741,99.1362317017741,99.1362317017741,100.0,100.0,100.0,100.0,100.0,100.0,99.99508099130216,99.99508099130216,99.99508099130216,100.0,100.0,100.0,99.99437827577864,99.99437827577864,99.99437827577864,100.0,100.0,100.0,100.0,100.0,100.0,0.7508782522539832,0.0,0.8581465740045502,0.0,0.0,37.72719905920548,37.72719905920549
X16,random,1,13.28475953348185,14.15772329214862,,,1:12,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,16,1122,21.488896,4.996604071248399,4.300700174274767,True,True,3,"7,19,43",3,True,True,True,92.55579185371003,91.93401684544257,93.26040435110946,99.34443227737556,99.10052836035518,99.49409453439915,85.18872357350317,82.9731437273895,87.33661980024515,95.88675213675214,94.07051282051282,96.7948717948718,95.13355071366122,92.81767955801105,96.82539682539682,98.32526642731848,97.66692159385876,98.67431794764772,98.04922547454548,97.68332577089815,98.28450529557044,98.6819028690793,97.64699918272369,99.2676165291264,99.73290598290599,99.67948717948718,99.83974358974359,100.0,100.0,100.0,5.769474573608463,-1.2952068028300847,13.493179295576141,3.846153846153849,4.866449286338792,34.14042066481379,34.14042066481379
XY12_16,random,1,13.305267985847202,11.99841595949782,,,1:12,200.0,1735,285.91552,59.95133403175858,4.7691269029733245,True,False,16,1122,21.488896,4.996604071248399,4.300700174274767,True,True,3,"7,19,43",3,True,True,True,90.82923258259471,90.40609350729274,91.0502247687212,99.22686031092951,99.07879160739748,99.32389309090553,83.80911510934324,82.17556301131253,84.74309512446206,93.42948717948718,91.98717948717949,94.23076923076923,94.86526168111845,91.8918918918919,96.56862745098039,97.68899918773782,97.39933454916513,98.00528763240993,97.34136471223337,97.16857334487362,97.61253004405485,98.09765303026767,97.62933399684844,98.9612644968874,99.67948717948718,99.51923076923077,99.83974358974359,100.0,100.0,100.0,6.859766605143103,-1.8854955986961575,14.288537920924417,6.250000000000004,5.134738318881536,37.68458849508805,36.27930830899236
XY12_20,random,1,10.528528372479734,12.001018992584244,,,1:12,200.0,2189,285.276288,75.60085537621568,3.773453178279105,True,False,20.0,1236,27.095552,6.299536349615937,4.3011978177809755,True,True,3,"7,19,43",3,True,True,True,95.02517191117067,93.85285952335832,96.20628811910527,99.22146182592822,99.18006067894319,99.29356853949129,90.25386042343757,87.47246834243086,93.07894260660402,99.10256410256409,98.07692307692307,99.8076923076923,98.57142857142857,95.71428571428572,100.0,98.61662649714422,98.28019590231636,98.8305472005568,98.27109837085705,97.66497857784319,98.76184002190523,99.05020112349182,98.71079115097984,99.33370078552836,100.0,100.0,100.0,100.0,100.0,100.0,3.591454585973551,-0.9503634550711695,8.796340700054245,0.8974358974359026,1.428571428571426,34.4095825422478,34.4095825422478
XY12_24,random,1,8.69446475420412,11.99828963422271,,,1:12,200.0,2645,284.63424,91.31932910661469,3.1169112036258118,True,False,24.0,1325,32.737408,7.611028895830674,4.301311747473929,True,True,3,"7,19,43",3,True,True,True,98.27991793108485,97.80489322683687,98.65553161425909,99.78359440689138,99.7023875986468,99.87115119134093,96.43196403143584,95.43318619763872,97.26722624663645,100.0,100.0,100.0,100.0,100.0,100.0,99.12906510206834,99.11068379668086,99.14534494527281,99.12251730488713,99.07038324489666,99.18169482958437,99.13564397743295,99.06415121376996,99.23837078084765,100.0,100.0,100.0,100.0,100.0,100.0,0.8491471709834902,-0.6610771020042657,2.7036799459971186,0.0,0.0,34.41049397979143,34.41049397979143
XY12_32,random,1,6.426595982499282,11.999052257267367,,,1:12,200.0,3564,283.340288,122.99756892730923,2.3036251079682093,True,False,32.0,1455,44.088704,10.250606988798994,4.30108227231582,True,False,3,"7,19,43",3,True,True,True,99.74081728469442,99.6323619429832,99.81001459930212,99.93351656019763,99.87560460176172,99.99999999999983,99.48470294726638,99.22274396394309,99.63640333303896,100.0,100.0,100.0,100.0,100.0,100.0,99.84527921419148,99.7769283152719,99.9399353210675,99.74973109715597,99.65766876061167,99.89204953608535,99.99784656436066,99.99353969308461,99.99999999999886,100.0,100.0,100.0,100.0,100.0,100.0,0.10446192949707249,-0.18378546304166812,0.5131436170942578,0.0,0.0,32.41120101417895,32.41120101417895
Y1792,random,1,10.549158179172728,9.828682251993717,,,1:12,200.0,1792,285.835264,61.91614111525944,4.616490285916009,True,False,20.0,1236,27.095552,6.299536349615937,4.3011978177809755,True,True,3,"7,19,43",3,True,True,True,93.50180114463355,92.59492186004694,94.68330067794393,99.21959403883524,99.08632100690271,99.33454256807345,88.74929710810393,87.15113618606732,91.2509225181507,98.34401709401709,97.59615384615384,99.19871794871796,97.58996227567155,95.0920245398773,98.88268156424581,97.84531057213793,97.59462782169395,98.23841236553305,97.85896420864633,97.05684349389992,98.36855314043484,97.83434875826474,97.15320366800675,98.32235362075346,100.0,100.0,100.0,100.0,100.0,100.0,4.343509427504391,-1.3606298301889268,9.085051650160802,1.6559829059829052,2.410037724328442,36.61662981919304,36.301337351058
Y3072,random,1,10.482643940968613,16.832693261110332,,,1:12,200.0,3072,284.033024,106.03816306029977,2.6785924595702544,True,False,20.0,1236,27.095552,6.299536349615937,4.3011978177809755,True,True,3,"7,19,43",3,True,True,True,97.52256133451664,96.58266235765282,98.0270850914748,99.70747615621917,99.66713468661474,99.73137430286957,93.93770517352844,91.51730251796289,95.1847779305166,99.6153846153846,99.61538461538461,99.61538461538461,99.4535519125683,98.36065573770492,100.0,99.26959745679267,99.14874124902092,99.47303406027505,99.09144148679503,98.77926280776276,99.44498825650712,99.5902972753172,99.33522217331756,99.91628277847605,100.0,100.0,100.0,100.0,100.0,100.0,1.7470361222760384,-0.6160346694241383,5.65259210178877,0.3846153846153868,0.5464480874316943,34.4095825422478,34.4095825422478
Y4096,random,1,10.429432550405322,22.43590328485972,,,1:12,200.0,4096,282.591232,141.33578827944143,1.9994315342217222,False,False,20.0,1236,27.095552,6.299536349615937,4.3011978177809755,True,True,3,"7,19,43",3,True,True,True,98.55587939090485,98.20414359306235,98.73821298455906,99.71049039154703,99.56724818251803,99.79836021868662,95.604550400843,94.48412654680764,96.74364952975317,99.7596153846154,99.27884615384616,100.0,100.0,100.0,100.0,99.70978727334825,99.57615494234277,99.83927144799631,99.61138547498832,99.43105189150282,99.7618643893787,99.97034900484162,99.92082139978965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.1539078824434152,-0.0991049165587062,4.365798603998617,0.2403846153846132,0.0,32.107816258688544,32.107816258688544
