case,id,mode,ssu,seed,strategy,npu_id,A_count,B_count,warm_roles,warm_util_pct,warm_A_compute_ms,warm_B_compute_ms
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,5,0,97,B,68.05955128805937,0.0,1361.1910257611871
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,6,0,97,B,68.27001471452957,0.0,1365.4002942905913
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,7,0,97,B,68.25156401125876,0.0,1365.0312802251751
F20_fixed_s1_seed7,F20,fixed,1,7,once,0,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,once,1,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,once,2,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,once,3,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,once,4,0,97,B,99.05748789043218,0.0,1981.1497578086437
F20_fixed_s1_seed7,F20,fixed,1,7,once,5,0,97,B,98.9644181432306,0.0,1979.288362864612
F20_fixed_s1_seed7,F20,fixed,1,7,once,6,0,97,B,98.49410766644435,0.0,1969.882153328887
F20_fixed_s1_seed7,F20,fixed,1,7,once,7,0,97,B,98.73905517644927,0.0,1974.7811035289856
X16_random_s1_seed19,X16,random,1,19,baseline,0,6,72,A+B,88.94459980354071,579.7070189712017,1199.1849770996125
X16_random_s1_seed19,X16,random,1,19,baseline,1,6,72,A+B,89.26055066676376,706.9023373024706,1078.3086760328047
X16_random_s1_seed19,X16,random,1,19,baseline,2,6,72,A+B,97.15778551220629,1503.4545519742678,439.70115826985784
X16_random_s1_seed19,X16,random,1,19,baseline,3,6,72,A+B,93.79610155588408,1131.84860545853,744.0734256591516
X16_random_s1_seed19,X16,random,1,19,baseline,4,6,72,A+B,94.09454577691608,1060.719539210491,821.1713763278308
X16_random_s1_seed19,X16,random,1,19,baseline,5,6,72,A+B,88.20379285966528,523.726961280599,1240.3488959127067
X16_random_s1_seed19,X16,random,1,19,baseline,6,6,72,A+B,97.5104171731494,1430.561520053156,519.646823409832
X16_random_s1_seed19,X16,random,1,19,baseline,7,6,72,A+B,90.81584156849897,1131.84860545853,684.4682259114493
