case,id,mode,ssu,seed,strategy,start_ms,end_ms,fleet_pct,internal_stall_card_ms,layer0_stall_card_ms
XY12_20_random_s1_seed19,XY12_20,random,1,19,once,4000.0,4500.0,98.59543956373709,39.32657028134781,16.855847169168555
XY12_20_random_s1_seed43,XY12_20,random,1,43,baseline,500.0,4500.0,94.69382977357479,1442.7564462390492,255.21802621701852
XY12_20_random_s1_seed43,XY12_20,random,1,43,baseline,2000.0,4000.0,93.85285952335832,844.1893823715411,139.3530938911283
XY12_20_random_s1_seed43,XY12_20,random,1,43,baseline,4000.0,4500.0,93.50239565600951,224.47695236733034,35.42722139228954
XY12_20_random_s1_seed43,XY12_20,random,1,43,once,500.0,4500.0,98.57467569149019,114.9190813399473,341.18469738319345
XY12_20_random_s1_seed43,XY12_20,random,1,43,once,2000.0,4000.0,98.28019590231636,48.271617758797674,226.8970378705826
XY12_20_random_s1_seed43,XY12_20,random,1,43,once,4000.0,4500.0,99.04952255514684,1.4275749182825166,36.59152287584402
XY12_20_random_s1_seed7,XY12_20,random,1,7,baseline,500.0,4500.0,95.38639276252596,1220.4708511055023,255.88346488618993
XY12_20_random_s1_seed7,XY12_20,random,1,7,baseline,2000.0,4000.0,96.20628811910527,492.6547360154341,114.33916492772391
XY12_20_random_s1_seed7,XY12_20,random,1,7,baseline,4000.0,4500.0,96.01776865331051,135.867012565614,23.42224130196564
XY12_20_random_s1_seed7,XY12_20,random,1,7,once,500.0,4500.0,98.76519422540969,84.23762492847686,310.9002229404288
XY12_20_random_s1_seed7,XY12_20,random,1,7,once,2000.0,4000.0,98.8305472005568,35.09418533325197,152.01826257766197
XY12_20_random_s1_seed7,XY12_20,random,1,7,once,4000.0,4500.0,98.68432574290364,17.904215672384453,34.722754611469554
XY12_24_random_s1_seed19,XY12_24,random,1,19,baseline,500.0,4500.0,98.40517716887963,444.2784291236859,66.06487683483238
XY12_24_random_s1_seed19,XY12_24,random,1,19,baseline,2000.0,4000.0,98.37932895215856,212.90498280613792,46.40238484849306
XY12_24_random_s1_seed19,XY12_24,random,1,19,baseline,4000.0,4500.0,99.14528292223333,28.473873670766807,5.714809439899909
XY12_24_random_s1_seed19,XY12_24,random,1,19,once,500.0,4500.0,99.38127578448766,62.8339485515105,135.15780041244193
XY12_24_random_s1_seed19,XY12_24,random,1,19,once,2000.0,4000.0,99.13116656425132,52.54826019415168,86.4650895256384
XY12_24_random_s1_seed19,XY12_24,random,1,19,once,4000.0,4500.0,99.78289510972324,0.6503297414801636,8.033865869590045
XY12_24_random_s1_seed43,XY12_24,random,1,43,baseline,500.0,4500.0,97.34547673497036,695.4879481041662,153.95949670531695
XY12_24_random_s1_seed43,XY12_24,random,1,43,baseline,2000.0,4000.0,97.80489322683687,284.13329130492093,67.08379240118211
XY12_24_random_s1_seed43,XY12_24,random,1,43,baseline,4000.0,4500.0,96.93059263428692,93.00445733990273,29.77183728862019
XY12_24_random_s1_seed43,XY12_24,random,1,43,once,500.0,4500.0,99.13895375874145,99.71508858411698,175.81970861861697
XY12_24_random_s1_seed43,XY12_24,random,1,43,once,2000.0,4000.0,99.11068379668086,56.777243690472915,85.51334884058952
XY12_24_random_s1_seed43,XY12_24,random,1,43,once,4000.0,4500.0,99.16966892886427,19.05798284150478,14.155260003924468
XY12_24_random_s1_seed7,XY12_24,random,1,7,baseline,500.0,4500.0,97.59377026456005,654.0945180318581,115.89899730892978
XY12_24_random_s1_seed7,XY12_24,random,1,7,baseline,2000.0,4000.0,98.65553161425909,173.8253245828614,41.289617135681965
XY12_24_random_s1_seed7,XY12_24,random,1,7,baseline,4000.0,4500.0,98.44370552581027,53.75690070711926,8.494878260469704
XY12_24_random_s1_seed7,XY12_24,random,1,7,once,500.0,4500.0,99.03843978373014,74.44593613876646,233.2533330675924
XY12_24_random_s1_seed7,XY12_24,random,1,7,once,2000.0,4000.0,99.14534494527281,37.71455770582725,99.03025105052484
XY12_24_random_s1_seed7,XY12_24,random,1,7,once,4000.0,4500.0,99.00677878120773,11.10957739332025,28.619271358370497
XY12_32_random_s1_seed19,XY12_32,random,1,19,baseline,500.0,4500.0,99.3714113363007,130.8934449778393,70.25492740593927
XY12_32_random_s1_seed19,XY12_32,random,1,19,baseline,2000.0,4000.0,99.81001459930212,22.57143600626887,7.826228105392147
XY12_32_random_s1_seed19,XY12_32,random,1,19,baseline,4000.0,4500.0,97.62965582249143,60.5618616177494,34.25190548259343
XY12_32_random_s1_seed19,XY12_32,random,1,19,once,500.0,4500.0,99.74095771529657,0.0,82.89353110509734
XY12_32_random_s1_seed19,XY12_32,random,1,19,once,2000.0,4000.0,99.7769283152719,0.0,35.69146955649603
XY12_32_random_s1_seed19,XY12_32,random,1,19,once,4000.0,4500.0,99.21390610329017,0.0,31.443755868393055
XY12_32_random_s1_seed43,XY12_32,random,1,43,baseline,500.0,4500.0,99.5197898040134,121.90765552204505,31.75960719366458
XY12_32_random_s1_seed43,XY12_32,random,1,43,baseline,2000.0,4000.0,99.78007531179792,23.233409497254797,11.954540615080077
XY12_32_random_s1_seed43,XY12_32,random,1,43,baseline,4000.0,4500.0,99.37260363464921,17.87279440320981,7.223060210822041
XY12_32_random_s1_seed43,XY12_32,random,1,43,once,500.0,4500.0,99.7666372637552,5.895187703519241,68.78088789481717
XY12_32_random_s1_seed43,XY12_32,random,1,43,once,2000.0,4000.0,99.81897400623505,0.0,28.964159002391625
XY12_32_random_s1_seed43,XY12_32,random,1,43,once,4000.0,4500.0,99.75955644198147,0.0,9.617742320740945
XY12_32_random_s1_seed7,XY12_32,random,1,7,baseline,500.0,4500.0,99.6273583347945,101.04536801476547,18.199964850996366
XY12_32_random_s1_seed7,XY12_32,random,1,7,baseline,2000.0,4000.0,99.6323619429832,46.39315750877586,12.428931613912937
XY12_32_random_s1_seed7,XY12_32,random,1,7,baseline,4000.0,4500.0,99.46641352016172,21.34345919353109,0.0
XY12_32_random_s1_seed7,XY12_32,random,1,7,once,500.0,4500.0,99.92290653027894,1.5796417327018162,23.090268578037012
XY12_32_random_s1_seed7,XY12_32,random,1,7,once,2000.0,4000.0,99.9399353210675,0.48770344145850686,9.122645187743728
XY12_32_random_s1_seed7,XY12_32,random,1,7,once,4000.0,4500.0,99.98767594197118,0.0,0.4929623211528451
Y1792_random_s1_seed19,Y1792,random,1,19,baseline,500.0,4500.0,92.82746680792705,1878.8346031108995,416.376018352442
Y1792_random_s1_seed19,Y1792,random,1,19,baseline,2000.0,4000.0,92.59492186004694,951.3849268429772,233.42757554951254
Y1792_random_s1_seed19,Y1792,random,1,19,baseline,4000.0,4500.0,94.0126769918711,198.89140157515794,40.60151874999701
Y1792_random_s1_seed19,Y1792,random,1,19,once,500.0,4500.0,97.54951739516515,339.9697978101133,444.1846357370404
Y1792_random_s1_seed19,Y1792,random,1,19,once,2000.0,4000.0,97.70289152918683,209.7236276307358,157.8137276993716
Y1792_random_s1_seed19,Y1792,random,1,19,once,4000.0,4500.0,94.87189319453014,82.00727961559596,123.11699260319847
Y1792_random_s1_seed43,Y1792,random,1,43,baseline,500.0,4500.0,92.66999135564235,1818.2100639380965,527.3927022563498
Y1792_random_s1_seed43,Y1792,random,1,43,baseline,2000.0,4000.0,93.22718089590978,878.0199833916072,205.63107326282807
Y1792_random_s1_seed43,Y1792,random,1,43,baseline,4000.0,4500.0,88.78599920093411,286.55622019927296,162.00381176336214
Y1792_random_s1_seed43,Y1792,random,1,43,once,500.0,4500.0,97.8195659521781,363.9454304819362,333.7934648210785
Y1792_random_s1_seed43,Y1792,random,1,43,once,2000.0,4000.0,98.23841236553305,117.93978534491862,163.91423616979455
Y1792_random_s1_seed43,Y1792,random,1,43,once,4000.0,4500.0,99.00453402799185,1.4003803974987932,38.41825848282724
Y1792_random_s1_seed7,Y1792,random,1,7,baseline,500.0,4500.0,94.60905563688577,1440.9380242203842,284.16417197616886
Y1792_random_s1_seed7,Y1792,random,1,7,baseline,2000.0,4000.0,94.68330067794393,680.0319896439976,170.63990188497132
Y1792_random_s1_seed7,Y1792,random,1,7,baseline,4000.0,4500.0,96.79044960445378,113.5973858909324,14.784629930916253
Y1792_random_s1_seed7,Y1792,random,1,7,once,500.0,4500.0,97.80342114441147,290.98269601925847,411.9225377690699
Y1792_random_s1_seed7,Y1792,random,1,7,once,2000.0,4000.0,97.59462782169395,144.45882236880016,240.40072616016778
Y1792_random_s1_seed7,Y1792,random,1,7,once,4000.0,4500.0,96.72565320513813,89.29707913290804,41.67679266156665
Y1_fixed_s1_seed7,Y1,fixed,1,7,baseline,500.0,4500.0,84.02967560339714,4416.8581611251675,693.6456457877455
Y1_fixed_s1_seed7,Y1,fixed,1,7,baseline,2000.0,4000.0,84.00088300766313,2253.7380290148567,306.120689759043
Y1_fixed_s1_seed7,Y1,fixed,1,7,baseline,4000.0,4500.0,83.75059049863141,550.6224898349919,99.35389021975152
Y1_fixed_s1_seed7,Y1,fixed,1,7,once,500.0,4500.0,99.98440978189936,4.708067239958268,0.2808025522457456
Y1_fixed_s1_seed7,Y1,fixed,1,7,once,2000.0,4000.0,99.98854792644288,1.832331769141092,0.0
Y1_fixed_s1_seed7,Y1,fixed,1,7,once,4000.0,4500.0,99.93280736212229,2.6877055151085187,0.0
Y2_fixed_s1_seed7,Y2,fixed,1,7,baseline,500.0,4500.0,99.24202624718647,213.23627924360284,29.31532165672263
Y2_fixed_s1_seed7,Y2,fixed,1,7,baseline,2000.0,4000.0,99.24420273904818,105.39528334230727,15.532278409985338
Y2_fixed_s1_seed7,Y2,fixed,1,7,baseline,4000.0,4500.0,99.25250863774019,27.45363356347616,2.4460209269163897
Y2_fixed_s1_seed7,Y2,fixed,1,7,once,500.0,4500.0,99.99056430157776,2.0863751590460424,0.9330483360731705
Y2_fixed_s1_seed7,Y2,fixed,1,7,once,2000.0,4000.0,99.99508099130216,0.7870413916552934,0.0
Y2_fixed_s1_seed7,Y2,fixed,1,7,once,4000.0,4500.0,99.99416940510062,0.2332237959753911,0.0
Y3072_random_s1_seed19,Y3072,random,1,19,baseline,500.0,4500.0,97.44324689407048,672.0780400732148,146.08295382422762
Y3072_random_s1_seed19,Y3072,random,1,19,baseline,2000.0,4000.0,96.58266235765282,451.91364390773356,94.86037886781651
Y3072_random_s1_seed19,Y3072,random,1,19,baseline,4000.0,4500.0,97.97862954297416,54.57897230363233,26.27584597740133
Y3072_random_s1_seed19,Y3072,random,1,19,once,500.0,4500.0,99.26830751407897,42.70487919748939,191.4367162972427
Y3072_random_s1_seed19,Y3072,random,1,19,once,2000.0,4000.0,99.14874124902092,34.55304114738965,101.64835900926391
Y3072_random_s1_seed19,Y3072,random,1,19,once,4000.0,4500.0,99.24435606042297,0.0,30.22575758308085
Y3072_random_s1_seed43,Y3072,random,1,43,baseline,500.0,4500.0,97.55238955498938,639.6806365430527,143.55470586034767
Y3072_random_s1_seed43,Y3072,random,1,43,baseline,2000.0,4000.0,98.0270850914748,264.5732264962878,51.093158867743114
Y3072_random_s1_seed43,Y3072,random,1,43,baseline,4000.0,4500.0,97.97866950854754,74.0764104418281,6.776809216270522
Y3072_random_s1_seed43,Y3072,random,1,43,once,500.0,4500.0,99.29334151537458,12.42892175460588,213.70179332553028
Y3072_random_s1_seed43,Y3072,random,1,43,once,2000.0,4000.0,99.18701706108206,4.803581858659982,125.2736883682096
Y3072_random_s1_seed43,Y3072,random,1,43,once,4000.0,4500.0,99.30388861562528,4.956275252351588,22.888180122637095
Y3072_random_s1_seed7,Y3072,random,1,7,baseline,500.0,4500.0,97.31846222608803,702.1319472679195,155.96014038391104
Y3072_random_s1_seed7,Y3072,random,1,7,baseline,2000.0,4000.0,97.95793655442229,271.2929147210866,55.4372365713466
Y3072_random_s1_seed7,Y3072,random,1,7,baseline,4000.0,4500.0,96.1943018456873,130.98723927443962,21.24068689806836
Y3072_random_s1_seed7,Y3072,random,1,7,once,500.0,4500.0,99.32507644511516,62.4111462153719,153.5643913477757
Y3072_random_s1_seed7,Y3072,random,1,7,once,2000.0,4000.0,99.47303406027505,28.98802551082963,55.32652484516166
Y3072_random_s1_seed7,Y3072,random,1,7,once,4000.0,4500.0,99.46897755647444,0.0,21.240897741022764
Y4096_random_s1_seed19,Y4096,random,1,19,baseline,500.0,4500.0,98.8499875154906,239.91092088053313,128.0930741624744
Y4096_random_s1_seed19,Y4096,random,1,19,baseline,2000.0,4000.0,98.72528159509312,120.56441534493342,83.39052944016612
Y4096_random_s1_seed19,Y4096,random,1,19,baseline,4000.0,4500.0,99.21101290984593,23.042652257400732,8.516831348762025
Y4096_random_s1_seed19,Y4096,random,1,19,once,500.0,4500.0,99.73857212091127,0.0,83.6569213083925
Y4096_random_s1_seed19,Y4096,random,1,19,once,2000.0,4000.0,99.7139354297057,0.0,45.7703312470876
Y4096_random_s1_seed19,Y4096,random,1,19,once,4000.0,4500.0,99.77189845674877,0.0,9.124061730049107
Y4096_random_s1_seed43,Y4096,random,1,43,baseline,500.0,4500.0,98.13377129759228,491.0232539163867,106.16993085408501
Y4096_random_s1_seed43,Y4096,random,1,43,baseline,2000.0,4000.0,98.20414359306235,229.80699189399616,57.53003321602728
Y4096_random_s1_seed43,Y4096,random,1,43,baseline,4000.0,4500.0,99.21672329376962,18.147225049214285,13.18384320000132
Y4096_random_s1_seed43,Y4096,random,1,43,once,500.0,4500.0,99.50475058418992,13.333438320525033,145.14637473870346
Y4096_random_s1_seed43,Y4096,random,1,43,once,2000.0,4000.0,99.57615494234277,3.753294153988918,64.0619150711691
Y4096_random_s1_seed43,Y4096,random,1,43,once,4000.0,4500.0,99.82827968840596,0.0,6.868812463761969
Y4096_random_s1_seed7,Y4096,random,1,7,baseline,500.0,4500.0,98.61005001473153,336.5569768362319,108.22701844967969
Y4096_random_s1_seed7,Y4096,random,1,7,baseline,2000.0,4000.0,98.73821298455906,145.26763200335085,56.618290467198676
Y4096_random_s1_seed7,Y4096,random,1,7,baseline,4000.0,4500.0,98.31357097916738,49.62940112744127,17.827759705863173
Y4096_random_s1_seed7,Y4096,random,1,7,once,500.0,4500.0,99.72318175963748,5.177269479287133,83.40456743671905
Y4096_random_s1_seed7,Y4096,random,1,7,once,2000.0,4000.0,99.83927144799631,0.0,25.71656832058943
Y4096_random_s1_seed7,Y4096,random,1,7,once,4000.0,4500.0,99.54403638544618,0.0,18.238544582152826
