case,id,mode,ssu,x,y,n_A,n_B,input_counts_A_B,A_total_length_k,A_nql,A_V_MB,A_C_ms,A_B_GB_s,A_constructed,A_extrapolated,B_total_length_k,B_nql,B_V_MB,B_C_ms,B_B_GB_s,B_constructed,B_extrapolated,seed,strategy,warm_start_ms,warm_end_ms,full_makespan_ms,pair_complete,pair_matched,pair_plot_eligible,strict_underload_full_both_audits,warm_all_npus_active,native_invariants_all_pass,request_count,fleet_pct,A_pct,B_pct,slo_all_pct,slo_warm_pct,full_fleet_utilization_pct,full_internal_stall_card_ms,full_internal_stall_count,full_layer0_stall_card_ms,full_layer0_stall_count,full_ordinary_demand_max_ssu_GB_s,full_ordinary_demand_peak_total_GB_s,full_ordinary_demand_any_overload_ms,full_ordinary_demand_any_ge36_ms,full_ordinary_demand_any_ge36_pct,full_ordinary_pending_demand_max_ssu_GB_s,full_ordinary_pending_demand_peak_total_GB_s,full_ordinary_pending_demand_any_overload_ms,full_ordinary_pending_demand_any_ge36_ms,full_ordinary_pending_demand_any_ge36_pct,warm_fleet_utilization_pct,warm_internal_stall_card_ms,warm_internal_stall_count,warm_layer0_stall_card_ms,warm_layer0_stall_count,warm_ordinary_demand_max_ssu_GB_s,warm_ordinary_demand_peak_total_GB_s,warm_ordinary_demand_any_overload_ms,warm_ordinary_demand_any_ge36_ms,warm_ordinary_demand_any_ge36_pct,warm_ordinary_pending_demand_max_ssu_GB_s,warm_ordinary_pending_demand_peak_total_GB_s,warm_ordinary_pending_demand_any_overload_ms,warm_ordinary_pending_demand_any_ge36_ms,warm_ordinary_pending_demand_any_ge36_pct,slo_all_count,slo_warm_admitted_count,source_directory
E1_fixed_s1_seed7,E1,fixed,1,10.421052631578947,13.489894037702644,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1024,27.394048,5.243965419109055,5.223918506437105,True,True,7,baseline,2000.0,4000.0,6272.956814426639,True,True,True,True,True,True,472,83.50216251273241,100.00000000000028,67.00432502546619,39.83050847457627,22.22222222222222,77.04545763647232,5927.2946354463875,252,994.607063127554,44,37.037751805310094,37.037751805310094,0.0,5124.595698643384,81.69346370849809,37.037751805310094,37.037751805310094,0.0,1342.734727562753,21.405132655699333,83.50216251273241,2262.936412855968,99,376.71758510684595,16,37.037751805310094,37.037751805310094,0.0,2000.0,100.0,37.037751805310094,37.037751805310094,0.0,501.1388481915633,25.056942409578163,472,144,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E1_fixed_s1_seed7/baseline
E1_fixed_s1_seed7,E1,fixed,1,10.421052631578947,13.489894037702644,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1024,27.394048,5.243965419109055,5.223918506437105,True,True,7,once,2000.0,4000.0,5148.033829843393,True,True,True,True,True,True,472,96.92400101483997,100.00000000000028,93.84800202968364,100.0,100.0,93.8810513830727,1027.9926807934353,699,369.0495450764639,99,37.037751805310094,37.037751805310094,0.0,4856.314966431583,94.33339264942857,37.037751805310094,37.037751805310094,0.0,11.168987055636165,0.2169563647948276,96.92400101483997,441.2386380485302,294,50.921199577073594,36,37.037751805310094,37.037751805310094,0.0,2000.0,100.0,37.037751805310094,37.037751805310094,0.0,2.749665630508389,0.13748328152541944,472,192,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E1_fixed_s1_seed7/once
E2_fixed_s2_seed7,E2,fixed,2,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,baseline,2000.0,4000.0,6057.969438719541,True,True,False,True,True,True,908,84.06121006341031,100.00000000000063,68.12242012682077,40.63876651982379,21.180555555555554,77.16018450262872,5383.252836739635,483,793.4688476183346,73,39.98248977192419,74.10197746345062,0.0,4836.343440788642,79.83439813804819,39.545729008655776,74.10197746345064,0.0,1206.812861590999,19.921078734363512,84.06121006341031,2234.59445247458,203,315.6119373797692,29,39.90113130927587,74.10197746345064,0.0,2000.0,100.0,39.545729008655776,74.10197746345064,0.0,501.22913753107537,25.061456876553766,908,288,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E2_fixed_s2_seed7/baseline
E2_fixed_s2_seed7,E2,fixed,2,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,once,2000.0,4000.0,5120.390419383885,True,True,False,False,True,True,908,94.12838523720895,100.00000000000063,88.25677047441792,100.0,100.0,91.28874974715897,2036.9765735467868,1459,379.8260572869574,193,40.283472772956685,74.10197746345068,9.58471391711646,4846.444995988645,94.6499114138214,39.38149743987607,74.10197746345064,0.0,97.27214014525654,1.8997016277708154,94.12838523720895,833.2687647355942,607,106.18959731097516,79,39.641043887842834,74.10197746345068,0.0,2000.0,100.0,39.12195099190928,74.10197746345064,0.0,39.84085704490417,1.9920428522452085,908,360,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E2_fixed_s2_seed7/once
E2_fixed_s3_seed7,E2,fixed,3,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,baseline,2000.0,4000.0,5347.8584095919505,True,True,True,True,True,True,908,91.51969834733572,100.0000000000006,83.03939669467154,99.55947136563876,100.0,87.40583684199518,2890.154852582883,513,426.08345734604677,78,28.093011158534168,74.10197746345065,0.0,0.0,0.0,27.82556686796096,74.10197746345064,0.0,0.0,0.0,91.51969834733572,1205.3670770896401,215,151.48118733664478,28,27.786402280119884,74.10197746345065,0.0,0.0,0.0,27.721055850959665,74.10197746345064,0.0,0.0,0.0,908,336,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E2_fixed_s3_seed7/baseline
E2_fixed_s3_seed7,E2,fixed,3,10.205128205128204,13.14893531011051,4,4,,200.0,1024,286.916608,35.44295093756352,8.095167033507838,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,once,2000.0,4000.0,4837.5376247886425,True,True,True,True,True,True,908,99.92602136974789,100.00000000000063,99.85204273949579,100.0,100.0,96.62644011441844,29.420738474591264,87,77.29777956066967,16,28.336545573012863,74.10197746345068,0.0,0.0,0.0,26.501544509892167,74.10197746345064,0.0,0.0,0.0,99.92602136974789,11.4470725165761,42,0.3895083237621293,3,28.33654557301285,74.10197746345071,0.0,0.0,0.0,26.501544509892167,74.10197746345062,0.0,0.0,0.0,908,404,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E2_fixed_s3_seed7/once
E3_fixed_s2_seed7,E3,fixed,2,8.425531914893616,23.33867064076124,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,24.0,512,33.882112,3.031044009747881,11.178363590576264,True,True,7,baseline,2000.0,4000.0,5335.007690613408,True,True,True,True,True,True,784,91.96992747924915,100.00000000000031,83.93985495849334,98.72448979591837,97.94520547945206,90.23192768855502,2803.3011136475725,268,457.61726628515146,44,33.216398792538286,60.855532141866746,0.0,0.0,0.0,32.8944471543692,60.855532141866746,0.0,0.0,0.0,91.96992747924915,1093.1726184987042,105,191.63898482143304,18,32.73813527651676,60.855532141866746,0.0,0.0,0.0,32.2650486997233,60.855532141866746,0.0,0.0,0.0,784,292,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E3_fixed_s2_seed7/baseline
E3_fixed_s2_seed7,E3,fixed,2,8.425531914893616,23.33867064076124,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,24.0,512,33.882112,3.031044009747881,11.178363590576264,True,True,7,once,2000.0,4000.0,5121.4778234433825,True,True,True,True,True,True,784,96.40288910471766,100.00000000000031,92.80577820942908,99.87244897959184,100.0,93.99396907544437,1226.268107602548,696,287.9918677913887,102,33.11280688263663,60.855532141866775,0.0,0.0,0.0,32.91910188853361,60.85553214186675,0.0,0.0,0.0,96.40288910471766,500.3287954735363,271,75.2089477716388,49,32.65660963116547,60.85553214186676,0.0,0.0,0.0,32.08408208770646,60.85553214186675,0.0,0.0,0.0,784,322,/workspace/scratch/351ecd930597/xy_underload_experiments/results/E3_fixed_s2_seed7/once
F20_fixed_s1_seed7,F20,fixed,1,10.490066225165563,12.028062319383693,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1152,27.213824,5.881291263943399,4.62718521812388,True,True,7,baseline,2000.0,4000.0,6206.910504420896,True,True,True,True,True,True,424,84.08664366064713,100.00000000000028,68.1732873212942,99.05660377358491,100.0,77.79394223990337,5994.967846300764,264,691.807037094941,32,34.6508186520572,34.6508186520572,0.0,0.0,0.0,34.6508186520572,34.6508186520572,0.0,0.0,0.0,84.08664366064713,2001.0971938415378,90,545.0398204549201,24,34.6508186520572,34.6508186520572,0.0,0.0,0.0,34.6508186520572,34.6508186520572,0.0,0.0,0.0,424,132,/workspace/scratch/351ecd930597/xy_underload_experiments/results/F20_fixed_s1_seed7/baseline
F20_fixed_s1_seed7,F20,fixed,1,10.490066225165563,12.028062319383693,4,4,,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,20.0,1152,27.213824,5.881291263943399,4.62718521812388,True,True,7,once,2000.0,4000.0,5145.181785043391,True,True,True,True,True,True,424,99.40688360956955,100.00000000000027,98.8137672191391,100.0,100.0,93.84703154178209,194.6831861013135,183,258.9586545795272,34,34.6508186520572,34.6508186520572,0.0,0.0,0.0,30.61529920716678,30.61529920716678,0.0,0.0,0.0,99.40688360956955,78.20772019599735,74,16.690902272874382,18,34.6508186520572,34.6508186520572,0.0,0.0,0.0,30.61529920716678,30.61529920716678,0.0,0.0,0.0,424,180,/workspace/scratch/351ecd930597/xy_underload_experiments/results/F20_fixed_s1_seed7/once
X16_random_s1_seed7,X16,random,1,13.28475953348185,14.15772329214862,,,1:12,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,16,1122,21.488896,4.996604071248399,4.300700174274767,True,True,7,baseline,2000.0,4000.0,6786.917978281406,True,True,True,True,True,True,624,93.26040435110946,99.10052836035518,87.33661980024515,96.7948717948718,96.82539682539682,92.43650478008817,3035.552303237884,951,748.2331516506861,194,34.14042066481379,34.14042066481379,0.0,0.0,0.0,34.14042066481379,34.14042066481379,0.0,0.0,0.0,93.26040435110946,855.7290551790475,276,222.60624864343936,57,33.87523993542944,33.87523993542944,0.0,0.0,0.0,29.83972049053902,29.83972049053902,0.0,0.0,0.0,624,189,/workspace/scratch/351ecd930597/xy_underload_experiments/results/X16_random_s1_seed7/baseline
X16_random_s1_seed7,X16,random,1,13.28475953348185,14.15772329214862,,,1:12,200.0,2048,285.474816,70.74053784115809,4.0355194448904195,False,False,16,1122,21.488896,4.996604071248399,4.300700174274767,True,True,7,once,2000.0,4000.0,6403.032272043782,True,True,True,True,True,True,624,98.634559740449,98.17984535716782,99.13109289538782,99.83974358974359,100.0,97.97841858154932,184.7755964822964,126,658.1586881618628,68,34.14042066481379,34.14042066481379,0.0,0.0,0.0,34.14042066481379,34.14042066481379,0.0,0.0,0.0,98.634559740449,60.604745937375355,47,157.86569559078362,18,33.87523993542944,33.87523993542944,0.0,0.0,0.0,29.57453976115467,29.57453976115467,0.0,0.0,0.0,624,204,/workspace/scratch/351ecd930597/xy_underload_experiments/results/X16_random_s1_seed7/once
