policy,request_id,layer,npu,role,profile,release_ms,deadline_ms,ready_ms,compute_start_ms,payload_MiB,budget_C_ms,budget_gib_s,stall_ms,own_D_over_C_gib_s,display_cohort,deadline_inside_display,ssd_before_deadline_MiB,link_before_deadline_MiB,ssd_deficit_at_deadline_MiB,link_deficit_at_deadline_MiB,ssd_mean_during_budget_gib_s,link_mean_during_budget_gib_s,ssd_mean_during_stall_gib_s,link_mean_during_stall_gib_s
once,25000054,2,25,short,32K/1024,3426.6320100183666,3433.8892415974465,3428.096996740433,3433.8892415974465,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000054,3,25,short,32K/1024,3433.8892415974465,3441.1464731765263,3434.7259572956887,3441.1464731765263,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000054,4,25,short,32K/1024,3441.1464731765263,3448.403704755606,3441.9858727710284,3448.403704755606,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000054,5,25,short,32K/1024,3448.403704755606,3455.660936334686,3454.492303155477,3455.660936334686,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000054,6,25,short,32K/1024,3455.660936334686,3462.918167913766,3456.500088677937,3462.918167913766,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000054,7,25,short,32K/1024,3462.918167913766,3470.175399492846,3464.235369174917,3470.175399492846,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,0,25,short,32K/1024,3470.175399492846,3477.4326310719257,3471.0126955068645,3477.4326310719257,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,1,25,short,32K/1024,3477.4326310719257,3484.6898626510056,3478.269346770168,3484.6898626510056,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,2,25,short,32K/1024,3484.6898626510056,3491.9470942300854,3485.5265783492478,3491.9470942300854,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,3,25,short,32K/1024,3491.9470942300854,3499.2043258091653,3492.7838099283276,3499.2043258091653,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,4,25,short,32K/1024,3499.2043258091653,3506.461557388245,3500.0410415074075,3506.461557388245,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,5,25,short,32K/1024,3506.461557388245,3513.718788967325,3507.2982730864874,3513.718788967325,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,6,25,short,32K/1024,3513.718788967325,3520.976020546405,3514.5555046655672,3520.976020546405,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000055,7,25,short,32K/1024,3520.976020546405,3528.233252125485,3521.815194865217,3528.233252125485,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,0,25,short,32K/1024,3528.233252125485,3535.4904837045647,3529.069967823727,3535.4904837045647,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,1,25,short,32K/1024,3535.4904837045647,3542.7477152836445,3536.327199402807,3542.7477152836445,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,2,25,short,32K/1024,3542.7477152836445,3550.0049468627244,3543.5844309818867,3550.0049468627244,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,3,25,short,32K/1024,3550.0049468627244,3557.2621784418043,3550.8416625609666,3557.2621784418043,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,4,25,short,32K/1024,3557.2621784418043,3564.519410020884,3558.0988941400465,3564.519410020884,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,5,25,short,32K/1024,3564.519410020884,3571.776641599964,3565.9726296562458,3571.776641599964,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,6,25,short,32K/1024,3571.776641599964,3579.033873179044,3572.613357298206,3579.033873179044,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000056,7,25,short,32K/1024,3579.033873179044,3586.2911047581238,3579.870588877286,3586.2911047581238,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,0,25,short,32K/1024,3586.2911047581238,3593.5483363372036,3587.127820456366,3593.5483363372036,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,1,25,short,32K/1024,3593.5483363372036,3600.8055679162835,3594.385052035446,3600.8055679162835,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,2,25,short,32K/1024,3600.8055679162835,3608.0627994953634,3601.6422836145257,3608.0627994953634,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,3,25,short,32K/1024,3608.0627994953634,3615.3200310744432,3608.8995151936056,3615.3200310744432,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,4,25,short,32K/1024,3615.3200310744432,3622.577262653523,3616.1567467726854,3622.577262653523,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,5,25,short,32K/1024,3622.577262653523,3629.834494232603,3623.4139783517653,3629.834494232603,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,6,25,short,32K/1024,3629.834494232603,3637.091725811683,3630.671209930845,3637.091725811683,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000057,7,25,short,32K/1024,3637.091725811683,3644.3489573907627,3637.928441509925,3644.3489573907627,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,0,25,short,32K/1024,3644.3489573907627,3651.6061889698426,3645.1895390441887,3651.6061889698426,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,1,25,short,32K/1024,3651.6061889698426,3658.8634205489225,3652.442904668085,3658.8634205489225,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,2,25,short,32K/1024,3658.8634205489225,3666.1206521280023,3659.703979814464,3666.1206521280023,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,3,25,short,32K/1024,3666.1206521280023,3673.377883707082,3666.9573678262445,3673.377883707082,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,4,25,short,32K/1024,3673.377883707082,3680.635115286162,3674.218682407257,3680.635115286162,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,5,25,short,32K/1024,3680.635115286162,3687.892346865242,3681.8699733008116,3687.892346865242,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,6,25,short,32K/1024,3687.892346865242,3695.149578444322,3689.645570737335,3695.149578444322,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000058,7,25,short,32K/1024,3695.149578444322,3702.4068100234017,3696.132844907257,3702.4068100234017,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,0,25,short,32K/1024,3702.4068100234017,3709.6640416024816,3703.61910682132,3709.6640416024816,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,1,25,short,32K/1024,3709.6640416024816,3716.9212731815614,3711.7134129492497,3716.9212731815614,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,2,25,short,32K/1024,3716.9212731815614,3724.1785047606413,3717.7582111181946,3724.1785047606413,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,3,25,short,32K/1024,3724.1785047606413,3731.435736339721,3725.6570758642883,3731.435736339721,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,4,25,short,32K/1024,3731.435736339721,3738.692967918801,3732.2724520379634,3738.692967918801,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,5,25,short,32K/1024,3738.692967918801,3745.950199497881,3739.565307761103,3745.950199497881,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,6,25,short,32K/1024,3745.950199497881,3753.207431076961,3746.7902680882517,3753.207431076961,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000059,7,25,short,32K/1024,3753.207431076961,3760.4646626560407,3756.4896884739946,3760.4646626560407,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,0,25,short,32K/1024,3760.4646626560407,3767.7218942351205,3761.301378354283,3767.7218942351205,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,1,25,short,32K/1024,3767.7218942351205,3774.9791258142004,3769.2613983493247,3774.9791258142004,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,2,25,short,32K/1024,3774.9791258142004,3782.2363573932803,3778.485712631552,3782.2363573932803,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,3,25,short,32K/1024,3782.2363573932803,3789.49358897236,3784.3599464206136,3789.49358897236,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
