A_key,B_key,A_C_ms,B_C_ms,A_V_MB,B_V_MB,A_B_GB_s,B_B_GB_s,x,y,ideal_min_S_any_mix,ideal_total_peak_GB_s,single_A_service_over_C_B,A_count_needed_ahead_of_B,heuristic_nA,heuristic_nB,no_stall_count_ratio_B_per_A,hypothetical_B_wait_ms,hypothetical_fleet_wait_scale,note
"[192, 4096]","[64, 256]",135.967080955643,3.3396570206571456,271.056896,91.91424,1.9935479536287743,27.522059729928195,2.949019607843137,40.71288761529431,12,440.3529556788511,0.16908977873289216,6,11,5,18.50585800695196,2.872063512676188,0.006601008430887103,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 4096]","[96, 1024]",141.33578827944143,17.994649291033316,282.591232,136.97024,1.9994315342217217,7.611720450047997,2.0631578947368423,7.854323026449238,4,121.78752720076795,0.09815113211903997,11,13,3,1.8125360830267474,4.965888308966683,0.006587885978959022,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[80, 1024]","[64, 1024]",15.310296145067996,12.625940760424301,113.901568,90.832896,7.439540484440063,7.194148754817024,1.253968253968254,1.2126063661773023,3,119.03264775104101,0.0751769512738816,14,15,1,0.08084042441182016,1.6117552395756984,0.006579539776304815,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 256]","[96, 256]",6.024011548589168,4.681834187647281,184.188928,138.051584,30.57579264487588,29.48664529048044,1.3342036553524805,1.2866776795477155,13,489.21268231801406,0.07565613448200192,14,15,1,0.0857785119698477,0.6313079661988725,0.006549912391298513,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[96, 64]","[32, 128]",1.4556386842956937,1.1780259589150035,138.32192,45.95712,95.02489971742311,39.01197562940621,3.0098039215686274,1.2356592596960934,39,1520.3983954787698,0.0752682033573888,14,15,1,0.08237728397973956,0.1519925026234581,0.006526022917948522,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 4096]","[32, 128]",93.01732520235409,1.1780259589150035,178.782208,45.95712,1.9220312733253628,39.01197562940621,3.890196078431372,78.96033571961841,16,624.1916100704993,0.2371316165709005,5,10,6,47.37620143177105,1.6154460410849965,0.006512682063142601,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 256]","[160, 256]",9.043910535256627,7.366188833782921,287.997952,230.326272,31.844405235685787,31.268037949784066,1.2503912363067293,1.227759800804904,13,509.5104837709726,0.07518707813253121,14,15,1,0.0818506533869936,0.9414443969863093,0.006506065554525601,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[112, 256]","[80, 64]",5.352922975902714,1.287866527447986,161.120256,115.253248,30.099490824978435,89.49160921852969,1.3979671618451917,4.1564268204951125,36,1431.865747496475,0.08687939649179649,12,14,2,0.5937752600707303,0.2785804058853476,0.006505333794719136,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 1024]","[96, 256]",26.047713806224994,4.681834187647281,206.176256,138.051584,7.915330210313011,29.48664529048044,1.493472584856397,5.563570336375904,12,471.786324647687,0.09174478408482815,11,13,3,1.283900846855978,0.9021060790193856,0.006493655876075843,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 1024]","[80, 64]",31.416419055018245,1.287866527447986,252.3136,115.253248,8.031265420738558,89.49160921852969,2.18921032056294,24.39415761295736,36,1431.865747496475,0.13605274618402133,8,12,4,8.131385870985786,0.8147468058853478,0.006483447432841695,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
