group,strategy,window,expected_case_count,completed_case_count,group_complete,all_windows_available,cases,weighting,start_ms,end_ms_min,end_ms_max,U_percent_mean,U_percent_min,U_percent_max,SLO_1p5_percent_mean,admitted_count_total,passed_count_total,every_case_all16active,every_case_all16computeAB,every_case_before_first_finish,every_case_nominal_under40,nominal_peak_GB_s_max
same_pool_random,once,extra_2_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
same_pool_random,once,extra_60_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
same_pool_random,once,full,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,0.0,82703.75705297489,82873.46592622918,98.30130838599557,98.18875685409019,98.39024108994239,100.0,14064,14064,False,True,False,True,39.83399883440474
same_pool_random,once,late_20_40,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,20000.0,40000.0,40000.0,98.7240099568823,98.6463680885519,98.86397154442918,100.0,3427,3427,True,True,True,True,39.83375557046633
same_pool_random,once,late_20_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,20000.0,60000.0,60000.0,98.61972172815528,98.54784495947588,98.66500745621354,100.0,6724,6724,True,True,True,True,39.83375557046633
same_pool_random,once,late_40_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,40000.0,60000.0,60000.0,98.51543349942824,98.23171837452256,98.6683246747613,100.0,3297,3297,True,True,True,True,39.83351230652797
same_pool_random,once,late_4_10,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,4000.0,10000.0,10000.0,98.59952345577933,98.46210864083191,98.80393492004718,100.0,1053,1053,True,True,True,True,39.833512306527936
same_pool_random,once,long_2_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,60000.0,60000.0,98.64873221601117,98.60602739757022,98.67572235571211,100.0,9807,9807,True,True,True,True,39.83375557046633
same_pool_random,once,post_start_before_first_finish,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,82357.20044972151,82391.2793604231,98.64771809367578,98.6018905783699,98.7005323860675,100.0,13645,13645,True,True,True,True,39.83375557046633
same_pool_random,once,steady_2_10,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,10000.0,10000.0,98.6724654643322,98.54218284852969,98.83320414904412,100.0,1424,1424,True,True,True,True,39.833512306527936
same_pool_random,once,warm_2_4,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,4000.0,4000.0,98.89129148999085,98.78240547162301,98.97045716231464,100.0,371,371,True,False,True,True,39.833025778651134
submitseed17_sensitivity,asu_baseline,before_first_finish,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,0.0,82795.63535739864,82795.63535739864,96.59539298637658,96.59539298637658,96.59539298637658,97.70238350869658,4657,4550,True,True,True,True,39.83448536228155
submitseed17_sensitivity,asu_baseline,extra_2_90,1,1,True,False,"[""full_input_aligned_submitseed17""]",one native run,,,,,,,,,,,,,,
submitseed17_sensitivity,asu_baseline,extra_60_90,1,1,True,False,"[""full_input_aligned_submitseed17""]",one native run,,,,,,,,,,,,,,
submitseed17_sensitivity,asu_baseline,full,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,0.0,85817.98585961647,85817.98585961647,94.81978065527395,94.81978065527395,94.81978065527395,97.71757679180887,4688,4581,False,True,False,True,39.83448536228155
submitseed17_sensitivity,asu_baseline,late_20_40,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,20000.0,40000.0,40000.0,98.29833889896916,98.29833889896916,98.29833889896916,99.34272300469483,1065,1058,True,True,True,True,39.83253925077441
submitseed17_sensitivity,asu_baseline,late_20_60,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,20000.0,60000.0,60000.0,97.51369355462353,97.51369355462353,97.51369355462353,99.32249322493224,2214,2199,True,True,True,True,39.83253925077445
submitseed17_sensitivity,asu_baseline,late_40_60,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,40000.0,60000.0,60000.0,96.72904821027788,96.72904821027788,96.72904821027788,99.30374238468234,1149,1141,True,True,True,True,39.83253925077445
submitseed17_sensitivity,asu_baseline,late_4_10,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,4000.0,10000.0,10000.0,93.5035438790412,93.5035438790412,93.5035438790412,100.0,322,322,True,True,True,True,39.83253925077436
submitseed17_sensitivity,asu_baseline,long_2_60,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,2000.0,60000.0,60000.0,96.70456486266188,96.70456486266188,96.70456486266188,98.76657415972865,3243,3203,True,True,True,True,39.83448536228155
submitseed17_sensitivity,asu_baseline,post_start_before_first_finish,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,2000.0,82795.63535739864,82795.63535739864,96.96971622865422,96.96971622865422,96.96971622865422,98.96771359543159,4553,4506,True,True,True,True,39.83448536228155
submitseed17_sensitivity,asu_baseline,steady_2_10,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,2000.0,10000.0,10000.0,92.84049339723113,92.84049339723113,92.84049339723113,94.79638009049773,442,419,True,True,True,True,39.83448536228155
submitseed17_sensitivity,asu_baseline,warm_2_4,1,1,True,True,"[""full_input_aligned_submitseed17""]",one native run,2000.0,4000.0,4000.0,90.85134195180085,90.85134195180085,90.85134195180085,80.83333333333333,120,97,True,True,True,True,39.83448536228155
