case,strategy,seed,order_mode,npu,ssu,complete_native_run,has_extended_windows,request_count,makespan_ms,input_fingerprint,manifest_sha256,source_unchanged_during_run,current_source_files_match,window,start_ms,end_ms,available,first_npu_finishes_ms,ends_before_first_npu_finishes,duration_ms,U_percent,SLO_1p5_percent,admitted_count,passed_count,completed_after_window_count,all_npus_active,mixed_npu_count,all_npus_compute_AB,missing_A_npu_ids,missing_B_npu_ids,inactive_npu_ids,nominal_strict_under40,nominal_peak_GB_s,any_ssu_over40_percent,any_ssu_at_or_above40_percent,internal_stall_card_ms,layer0_stall_card_ms,per_npu_U_percent,valid_all_active_mixed_underload_window,A_compute_card_ms,A_active_card_ms,A_wait_card_ms,A_active_U_percent,A_admitted_count,A_passed_count,A_SLO_1p5_percent,B_compute_card_ms,B_active_card_ms,B_wait_card_ms,B_active_U_percent,B_admitted_count,B_passed_count,B_SLO_1p5_percent,SSU0_nominal_peak_GB_s,SSU0_nominal_mean_GB_s,SSU0_over40_percent,SSU1_nominal_peak_GB_s,SSU1_nominal_mean_GB_s,SSU1_over40_percent,SSU2_nominal_peak_GB_s,SSU2_nominal_mean_GB_s,SSU2_over40_percent,SSU3_nominal_peak_GB_s,SSU3_nominal_mean_GB_s,SSU3_over40_percent,reason
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_20_40,20000.0,40000.0,True,84122.4095867314,True,20000.0,96.55053454751304,99.7411561691113,1159,1156,16,True,16,True,,,,True,39.833269042589535,0.0,0.0,9573.03914753841,1465.2503004198807,"[96.36760710955605, 96.1524199472903, 95.22369713513174, 96.0912410624746, 95.60430774889232, 97.27539152928121, 96.62688239325264, 96.89991507694056, 95.56303244207317, 97.15825135222057, 97.35443284776058, 96.34522665231624, 96.57237004283996, 96.2681338110227, 97.864267812126, 97.44137579702992]",True,176163.35753466154,176648.93380744412,485.5762727825968,99.72511791477221,192,192,100.0,132798.35301738017,143351.06619255588,10552.713175175693,92.6385527115642,967,964,99.68976215098242,39.833269042589535,39.79849117316818,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_20_60,20000.0,60000.0,True,84122.4095867314,True,40000.0,96.5537307535554,99.77588525324967,2231,2226,16,True,16,True,,,,True,39.833269042589535,0.0,0.0,18893.817770042297,3162.3054072031155,"[96.85732877639118, 96.42475630444093, 95.79969395282706, 96.30077558285998, 96.58066630827415, 97.14998078622541, 96.6334877117049, 96.17905036111401, 96.84778663165211, 96.30733476545285, 96.89409058856751, 96.64922805356615, 96.41428916771449, 95.8635622105994, 97.31838188073245, 96.6392789747639]",True,367073.76392420183,368131.3186886135,1057.5547644116705,99.71272350090207,401,401,100.0,250870.1128985528,271868.6813113865,20998.56841283374,92.2762091199527,1830,1825,99.72677595628416,39.833269042589535,39.78014670133529,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_40_60,40000.0,60000.0,True,84122.4095867314,True,20000.0,96.55692695959776,99.81343283582089,1072,1070,16,True,16,True,,,,True,39.833269042589514,0.0,0.0,9320.778622503887,1697.0551067832348,"[97.34705044322634, 96.6970926615916, 96.37569077052238, 96.51031010324539, 97.55702486765597, 97.02457004316963, 96.64009303015715, 95.45818564528744, 98.13254082123105, 95.45641817868513, 96.43374832937442, 96.95322945481607, 96.256208292589, 95.45899061017609, 96.77249594933892, 95.83718215249783]",True,190910.40638954024,191482.3848811693,571.9784916290737,99.70128923765807,209,209,100.0,118071.75988117262,128517.61511883067,10445.855237658048,91.87204397778504,863,861,99.76825028968713,39.833269042589514,39.76180222950241,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,full,0.0,84655.96798179728,True,84122.4095867314,False,84655.96798179728,96.1213106350148,99.48805460750853,4688,4664,0,False,16,True,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15",True,39.833755570466344,0.0,0.0,40157.18582026638,7573.473655557486,"[96.0926097484251, 96.10097570513628, 96.0740817530306, 96.08171712970774, 96.13093361303007, 96.13678616323897, 96.10682825534425, 96.09920034687829, 96.14525404850862, 96.14649602174492, 96.11961450346374, 96.18287403546277, 96.14675056975997, 96.09568615426225, 96.2110565267708, 96.0701055854726]",False,775197.5464835756,777828.8103140101,2631.2638304344027,99.66171684623352,848,848,100.0,526761.268794217,571860.6644396065,45099.395645389464,92.11356918742007,3840,3816,99.375,39.833755570466344,39.62785406631758,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,before_first_finish,0.0,84122.4095867314,True,84122.4095867314,True,84122.4095867314,96.45377940088211,99.4868505452213,4677,4653,15,True,16,True,,,,True,39.833755570466344,0.0,0.0,40157.18582026638,7573.473655557486,"[96.50206094324137, 96.27256176081819, 96.12446432470297, 96.56668274021784, 96.5498503057857, 96.68793406002403, 96.26026450633631, 96.69756206945054, 96.40833037377423, 96.4289805093689, 96.25660498750018, 96.59577665000313, 96.43170614453179, 96.07092248617906, 96.72732460369741, 96.67944394848212]",True,773485.2793761244,776116.5432065588,2631.2638304344027,99.66097052646718,848,848,100.0,524742.6145357541,569842.0101811436,45099.395645389464,92.08563165936938,3829,3805,99.37320449203447,39.833755570466344,39.76888606822351,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,post_start_before_first_finish,2000.0,84122.4095867314,True,84122.4095867314,True,82122.4095867314,96.58566643158456,99.82429167581815,4553,4545,15,True,16,True,,,,True,39.83351230652794,0.0,0.0,38103.18110983707,6759.746853545274,"[96.67635890758122, 96.399983855416, 96.39751689254389, 96.7160685875024, 96.56115279997148, 96.97918500200386, 96.30936583541686, 96.8309746195386, 96.56262386733451, 96.51459114699378, 96.4085193151012, 96.5685427841205, 96.68262459623506, 96.18152142188102, 96.71781393765717, 96.86381933605523]",True,758036.2599570407,760346.3953794439,2310.135422403179,99.69617329200985,826,826,100.0,511059.36546727933,553612.1580082586,42552.792540979164,92.31360946008262,3727,3719,99.78535014757178,39.83351230652794,39.76778676941364,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,extra_2_90,2000.0,90000.0,False,84122.4095867314,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
full_input_pool_random_inputseed17,asu_baseline,7,variant_explicit,16,1,True,True,4688,84655.96798179728,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,extra_60_90,60000.0,90000.0,False,84122.4095867314,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,warm_2_4,2000.0,4000.0,True,82357.20044972151,True,2000.0,98.97045716231464,100.0,121,121,16,True,16,True,,,,True,39.83278251471274,0.0,0.0,35.89593168648844,293.55777637282335,"[97.197194314763, 99.82591336503769, 98.9606660414081, 99.00777080093725, 99.08581398768301, 97.92795215791234, 100.0, 98.35041057411657, 99.11198620385908, 97.82067502679739, 99.84781074446158, 98.61548335170967, 97.85931223524487, 100.0, 99.91632579310385, 100.0]",True,17880.62802491696,18201.457936646148,320.8299117291858,98.23733948760643,20,20,100.0,13789.918267023728,13798.542063353854,8.62379633012597,99.93750211949545,101,101,100.0,39.83278251471274,39.7021667043628,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,steady_2_10,2000.0,10000.0,True,82357.20044972151,True,8000.0,98.64200939542283,100.0,465,465,16,True,16,True,,,,True,39.833512306527936,0.0,0.0,235.66136714590266,1502.5666067128695,"[97.34026317495821, 98.16431378937196, 98.56802801620165, 99.23024297449771, 98.14979445731552, 98.42394021505844, 98.43728760455744, 97.87904508349695, 98.90880795395829, 97.9255413348936, 98.81055543376982, 99.21937925186106, 98.48882348707434, 99.57340239484863, 99.65599919804359, 99.4967259568581]",True,73726.4256969683,75230.26457192132,1503.83887495301,98.00101876085346,80,80,100.0,52535.34632917293,52769.73542807869,234.38909890576224,99.55582665517582,385,385,100.0,39.833512306527936,39.756137946460264,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_4_10,4000.0,10000.0,True,82357.20044972151,True,6000.0,98.53252680645889,100.0,344,344,16,True,16,True,,,,True,39.833512306527936,0.0,0.0,199.76543545941422,1209.0088303400462,"[97.38795279502327, 97.61044726415004, 98.43714867446619, 99.30440036568453, 97.83778794719302, 98.58926956744048, 97.91638347274325, 97.72192325329041, 98.84108187065802, 97.96049677092569, 98.46480366353926, 99.42067788524487, 98.6986605710175, 99.43120319313151, 99.56922366635683, 99.32896794247748]",True,55845.79767205134,57028.80663527516,1183.0089632238241,97.92559404093848,60,60,100.0,38745.42806214921,38971.19336472484,225.76530257563627,99.42068670963516,284,284,100.0,39.833512306527936,39.77412836049276,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,long_2_60,2000.0,60000.0,True,82357.20044972151,True,58000.0,98.66444689475112,100.0,3278,3278,16,True,16,True,,,,True,39.83375557046633,0.0,0.0,1760.3675703470954,10633.565246362423,"[98.5455361964553, 98.60859411271052, 98.6810974133508, 98.70460018268707, 98.80305044547767, 98.35440241135292, 98.61113817011436, 98.53975754935725, 98.88813812819161, 98.81427350276448, 98.54743358942669, 98.50433239127688, 98.7035577343411, 98.86207708726772, 98.81665492628048, 98.64650647496323]",True,547902.8914147525,558405.372419958,10502.481005205493,98.11920129641823,599,599,100.0,367703.17576853797,369594.627580042,1891.451811504025,99.4882361186123,2679,2679,100.0,39.83375557046633,39.776172314746525,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_20_40,20000.0,40000.0,True,82357.20044972151,True,20000.0,98.6463680885519,100.0,1193,1193,16,True,16,True,,,,True,39.83375557046633,0.0,0.0,962.6818146494224,3368.9403019844685,"[98.37609381971208, 98.57732682495825, 98.57083550023162, 98.40972825986928, 98.78803822372132, 98.46688199871252, 98.67829423295032, 98.40130279206812, 98.67503570709952, 99.26414377065424, 98.743432306205, 98.64928351530563, 98.76046744955315, 98.59376464825075, 98.79617633124897, 98.59108403628976]",True,178999.22131747947,182251.65277626266,3252.4314587831977,98.21541730391,195,195,100.0,136669.15656588663,137748.34722373734,1079.1906578506932,99.21654910595926,998,998,100.0,39.83375557046633,39.796416798327954,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_20_60,20000.0,60000.0,True,82357.20044972151,True,40000.0,98.64631276877641,100.0,2276,2276,16,True,16,True,,,,True,39.83375557046633,0.0,0.0,1235.0821000826654,7428.516179748403,"[98.7541347938525, 98.65494015216872, 98.64590628046986, 98.64265225026247, 98.88605632759666, 98.3257226095519, 98.76677817958277, 98.63758396921536, 98.91755629421169, 99.04083610479539, 98.42533484148667, 98.24868014498101, 98.6419184233733, 98.7063241951316, 98.59383415351434, 98.45274558022811]",True,375256.5460368616,382584.2162274419,7327.670190580284,98.08469093083963,412,412,100.0,256079.8556833073,257415.7837725581,1335.928089250785,99.48102324198149,1864,1864,100.0,39.83375557046633,39.77803297299802,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,late_40_60,40000.0,60000.0,True,82357.20044972151,True,20000.0,98.64625744900087,100.0,1083,1083,16,True,16,True,,,,True,39.83302577865111,0.0,0.0,272.40028543324297,4059.575877763935,"[99.13217576799292, 98.73255347937918, 98.7209770607081, 98.87557624065569, 98.98407443147197, 98.18456322039128, 98.8552621262152, 98.87386514636259, 99.16007688132387, 98.81752843893653, 98.10723737676835, 97.8480767746564, 98.52336939719345, 98.81888374201245, 98.39149197577969, 98.31440712416646]",True,196257.32471938216,200332.56345117925,4075.238731797086,97.96576319815813,217,217,100.0,119410.69911742068,119667.43654882075,256.73743140009174,99.78545756573023,866,866,100.0,39.83302577865111,39.759649147668085,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,full,0.0,82703.75705297489,True,82357.20044972151,False,82703.75705297489,98.39024108994239,100.0,4688,4688,0,False,16,True,,,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15",True,39.83375557046633,0.0,0.0,2804.257532023082,15550.228173973414,"[98.3608627228311, 98.36942615681183, 98.34189737662707, 98.34971298533118, 98.40009121704378, 98.40608191590381, 98.37541685567089, 98.36760889146393, 98.4147496844533, 98.41602097429812, 98.38850492143747, 98.45325768607863, 98.4162815308849, 98.3640117468093, 98.48210542125828, 98.33782735217477]",False,775197.5464835756,790307.6774841009,15110.131000525234,98.08806982001902,848,848,100.0,526761.2687942202,530005.6234996915,3244.3547054712612,99.38786409773383,3840,3840,100.0,39.83375557046633,39.67809881605351,0.0,,,,,,,,,,
full_input_pool_random_inputseed17,once,7,variant_explicit,16,1,True,True,4688,82703.75705297489,879f31a18104c6fe1ddbb34cb80b0831b7b75a291e5b71fda627d24e6a00ce6d,9a2b9a9d7fd6ebec828d6ea6dc719c45f0394127190dc2feaaa57f3ee634127d,True,True,before_first_finish,0.0,82357.20044972151,True,82357.20044972151,True,82357.20044972151,98.60709767893931,100.0,4680,4680,15,True,16,True,,,,True,39.83375557046633,0.0,0.0,2804.257532023082,15550.228173973414,"[98.5966768155245, 98.63343233108269, 98.59748498077886, 98.68363093090693, 98.55523888980642, 98.39937475691745, 98.51590049255987, 98.61590476877969, 98.68410113448464, 98.45824572914164, 98.62333917432449, 98.46233526835056, 98.7327180914775, 98.57606673664777, 98.82748281318351, 98.75162994906236]",True,774441.5032830455,789551.6342835708,15110.131000525234,98.08623903182264,848,848,100.0,524919.2182065021,528163.5729119733,3244.3547054712612,99.38572918090814,3832,3832,100.0,39.83375557046633,39.76653254174253,0.0,,,,,,,,,,
