strategy,request_id,npu,role,layer,io_start_ms,io_ready_ms,read_latency_ms,C_ms,compute_start_ms,compute_end_ms,stall_start_ms,stall_end_ms,exposed_stall_ms,prior_unready_A_layers,prior_unready_A_layer0,prior_unready_A_internal
asu_baseline,7000006,7,B,6,2033.7295123888118,2038.4485442970488,4.719031908236957,17.147176718561678,2050.8766891073733,2068.023865825935,2050.8766891073733,2050.8766891073733,0,0,0,0
asu_baseline,7000006,7,B,7,2050.8766891073733,2055.5957210156125,4.719031908239231,17.147176718561678,2068.023865825935,2085.1710425444967,2068.023865825935,2068.023865825935,0,0,0,0
asu_baseline,12000007,12,B,4,2010.6255736587188,2012.7632555786724,2.137681919953593,17.147176718561678,2027.7727503772805,2044.9199270958422,2027.7727503772805,2027.7727503772805,0,0,0,0
asu_baseline,12000007,12,B,5,2027.7727503772805,2029.9104322972341,2.137681919953593,17.147176718561678,2044.9199270958422,2062.0671038144037,2044.9199270958422,2044.9199270958422,0,0,0,0
asu_baseline,12000007,12,B,6,2044.9199270958422,2047.0576090157958,2.137681919953593,17.147176718561678,2062.0671038144037,2079.2142805329654,2062.0671038144037,2062.0671038144037,0,0,0,0
asu_baseline,12000007,12,B,7,2062.0671038144037,2064.2047857343587,2.1376819199549573,17.147176718561678,2079.2142805329654,2096.361457251527,2079.2142805329654,2079.2142805329654,0,0,0,0
asu_baseline,15000007,15,B,4,2011.6928376586957,2013.8305195786493,2.137681919953593,17.147176718561678,2028.8400143772574,2045.987191095819,2028.8400143772574,2028.8400143772574,0,0,0,0
asu_baseline,15000007,15,B,5,2028.8400143772574,2030.977696297211,2.137681919953593,17.147176718561678,2045.987191095819,2063.1343678143808,2045.987191095819,2045.987191095819,0,0,0,0
asu_baseline,15000007,15,B,6,2045.987191095819,2048.124873015773,2.1376819199540478,17.147176718561678,2063.1343678143808,2080.2815445329425,2063.1343678143808,2063.1343678143808,0,0,0,0
asu_baseline,15000007,15,B,7,2063.1343678143808,2065.2720497343357,2.1376819199549573,17.147176718561678,2080.2815445329425,2097.428721251504,2080.2815445329425,2080.2815445329425,0,0,0,0
asu_baseline,9000007,9,B,4,2012.7601016586725,2017.0323115785798,4.2722099199072545,17.147176718561678,2029.9072783772342,2047.054455095796,2029.9072783772342,2029.9072783772342,0,0,0,0
asu_baseline,9000007,9,B,5,2029.9072783772342,2034.1794882971415,4.2722099199072545,17.147176718561678,2047.054455095796,2064.2016318143574,2047.054455095796,2047.054455095796,0,0,0,0
asu_baseline,9000007,9,B,6,2047.054455095796,2051.3266650157043,4.272209919908391,17.147176718561678,2064.2016318143574,2081.348808532919,2064.2016318143574,2064.2016318143574,0,0,0,0
asu_baseline,9000007,9,B,7,2064.2016318143574,2068.473841734267,4.272209919909528,17.147176718561678,2081.348808532919,2098.4959852514808,2081.348808532919,2081.348808532919,0,0,0,0
asu_baseline,13000007,13,B,4,2013.8273656586493,2018.0995755785566,4.2722099199072545,17.147176718561678,2030.974542377211,2048.1217190957727,2030.974542377211,2030.974542377211,0,0,0,0
asu_baseline,13000007,13,B,5,2030.974542377211,2035.2467522971183,4.2722099199072545,17.147176718561678,2048.1217190957727,2065.2688958143344,2048.1217190957727,2048.1217190957727,0,0,0,0
asu_baseline,13000007,13,B,6,2048.1217190957727,2052.3939290156814,4.272209919908619,17.147176718561678,2065.2688958143344,2082.416072532896,2065.2688958143344,2065.2688958143344,0,0,0,0
asu_baseline,13000007,13,B,7,2065.2688958143344,2069.541105734244,4.272209919909528,17.147176718561678,2082.416072532896,2099.563249251458,2082.416072532896,2082.416072532896,0,0,0,0
asu_baseline,3000006,3,B,4,2015.0660005513491,2019.1668395785334,4.100839027184293,17.147176718561678,2032.2131772699108,2049.3603539884725,2032.2131772699108,2032.2131772699108,0,0,0,0
asu_baseline,3000006,3,B,5,2032.2131772699108,2036.3140162970951,4.100839027184293,17.147176718561678,2049.3603539884725,2066.507530707034,2049.3603539884725,2049.3603539884725,0,0,0,0
asu_baseline,3000006,3,B,6,2049.3603539884725,2053.4611930156584,4.100839027185884,17.147176718561678,2066.507530707034,2083.654707425596,2066.507530707034,2066.507530707034,0,0,0,0
asu_baseline,3000006,3,B,7,2066.507530707034,2070.608369734221,4.100839027186794,17.147176718561678,2083.654707425596,2100.8018841441576,2083.654707425596,2083.654707425596,0,0,0,0
asu_baseline,11000007,11,B,3,2004.8401825399105,2006.288718859879,1.4485363199685253,17.147176718561678,2021.9873592584722,2039.134535977034,2021.9873592584722,2021.9873592584722,0,0,0,0
asu_baseline,11000007,11,B,4,2021.9873592584722,2023.4358955784407,1.4485363199685253,17.147176718561678,2039.134535977034,2056.2817126955956,2039.134535977034,2039.134535977034,0,0,0,0
asu_baseline,11000007,11,B,5,2039.134535977034,2040.5830722970024,1.4485363199685253,17.147176718561678,2056.2817126955956,2073.4288894141573,2056.2817126955956,2056.2817126955956,0,0,0,0
asu_baseline,11000007,11,B,6,2056.2817126955956,2057.7302490155666,1.4485363199710264,17.147176718561678,2073.4288894141573,2090.576066132719,2073.4288894141573,2073.4288894141573,0,0,0,0
asu_baseline,11000007,11,B,7,2073.4288894141573,2074.8774257341292,1.4485363199719359,17.147176718561678,2090.576066132719,2107.7232428512807,2090.576066132719,2090.576066132719,0,0,0,0
asu_baseline,8000007,8,B,3,2007.4237816587884,2008.4941995787651,1.0704179199767623,17.147176718561678,2024.57095837735,2041.7181350959117,2024.57095837735,2024.57095837735,0,0,0,0
asu_baseline,8000007,8,B,4,2024.57095837735,2025.6413762973268,1.0704179199767623,17.147176718561678,2041.7181350959117,2058.8653118144734,2041.7181350959117,2041.7181350959117,0,0,0,0
asu_baseline,8000007,8,B,5,2041.7181350959117,2042.7885530158885,1.0704179199767623,17.147176718561678,2058.8653118144734,2076.012488533035,2058.8653118144734,2058.8653118144734,0,0,0,0
asu_baseline,8000007,8,B,6,2058.8653118144734,2059.9357297344504,1.0704179199769897,17.147176718561678,2076.012488533035,2093.159665251597,2076.012488533035,2076.012488533035,0,0,0,0
asu_baseline,8000007,8,B,7,2076.012488533035,2077.082906453012,1.0704179199769897,17.147176718561678,2093.159665251597,2110.3068419701585,2093.159665251597,2093.159665251597,0,0,0,0
asu_baseline,14000007,14,B,3,2008.4910456587652,2009.561463578742,1.0704179199767623,17.147176718561678,2025.6382223773269,2042.7853990958886,2025.6382223773269,2025.6382223773269,0,0,0,0
asu_baseline,14000007,14,B,4,2025.6382223773269,2026.7086402973036,1.0704179199767623,17.147176718561678,2042.7853990958886,2059.93257581445,2042.7853990958886,2042.7853990958886,0,0,0,0
asu_baseline,14000007,14,B,5,2042.7853990958886,2043.8558170158653,1.0704179199767623,17.147176718561678,2059.93257581445,2077.0797525330117,2059.93257581445,2059.93257581445,0,0,0,0
asu_baseline,14000007,14,B,6,2059.93257581445,2061.0029937344275,1.0704179199774444,17.147176718561678,2077.0797525330117,2094.2269292515734,2077.0797525330117,2077.0797525330117,0,0,0,0
asu_baseline,14000007,14,B,7,2077.0797525330117,2078.150170452989,1.0704179199774444,17.147176718561678,2094.2269292515734,2111.374105970135,2094.2269292515734,2094.2269292515734,0,0,0,0
asu_baseline,10000007,10,B,3,2009.558309658742,2011.6959915786956,2.137681919953593,17.147176718561678,2026.7054863773037,2043.8526630958654,2026.7054863773037,2026.7054863773037,0,0,0,0
asu_baseline,10000007,10,B,4,2026.7054863773037,2028.8431682972573,2.137681919953593,17.147176718561678,2043.8526630958654,2060.999839814427,2043.8526630958654,2043.8526630958654,0,0,0,0
asu_baseline,10000007,10,B,5,2043.8526630958654,2045.990345015819,2.137681919953593,17.147176718561678,2060.999839814427,2078.147016532989,2060.999839814427,2060.999839814427,0,0,0,0
asu_baseline,10000007,10,B,6,2060.999839814427,2063.1375217343816,2.1376819199545025,17.147176718561678,2078.147016532989,2095.2941932515505,2078.147016532989,2078.147016532989,0,0,0,0
asu_baseline,10000007,10,B,7,2078.147016532989,2080.2846984529433,2.1376819199545025,17.147176718561678,2095.2941932515505,2112.441369970112,2095.2941932515505,2095.2941932515505,0,0,0,0
asu_baseline,5000007,5,B,1,2046.4632127098619,2049.19213701575,2.728924305888313,17.147176718561678,2063.6103894284233,2080.757566146985,2063.6103894284233,2063.6103894284233,0,0,0,0
asu_baseline,5000007,5,B,2,2063.6103894284233,2066.339313734313,2.72892430588945,17.147176718561678,2080.757566146985,2097.9047428655467,2080.757566146985,2080.757566146985,0,0,0,0
asu_baseline,5000007,5,B,3,2080.757566146985,2083.4864904528745,2.72892430588945,17.147176718561678,2097.9047428655467,2115.0519195841084,2097.9047428655467,2097.9047428655467,0,0,0,0
