name,window,npu,A_compute_ms,B_compute_ms,U_percent,active_ms,both_AB
A200m1024_B32m1024_s4_r12_random_seed7,full,12,9073.39544001629,3715.702568488912,99.65778889582975,12813.773336364273,True
A200m1024_B32m1024_s4_r12_random_seed7,full,13,9073.395440016295,3715.7025684888827,99.65778889582958,12825.215961251668,True
A200m1024_B32m1024_s4_r12_random_seed7,full,14,9073.395440016284,3715.702568488943,99.65778889582995,12827.604061245773,True
A200m1024_B32m1024_s4_r12_random_seed7,full,15,9073.395440016286,3715.7025684889295,99.65778889582985,12817.842096291828,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,0,1327.4831535333064,670.673663631685,99.90784085824957,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,1,1154.5261199883057,840.0151853410616,99.72706526646836,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,2,1232.0118133136016,765.839145333226,99.89254793234139,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,3,1295.4295673903407,696.6942315916676,99.60618994910043,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,4,1337.6102638490747,660.9096341708473,99.9259949009961,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,5,1274.2492081283513,721.8302270852364,99.80397176067937,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,6,1059.833566674355,928.9256421222235,99.43796043982893,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,7,1417.7180375025455,582.2819624974545,100.0,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,8,920.1173845913818,1075.5602489451803,99.7838816768281,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,9,1092.3564052576257,902.8479031647244,99.76021542111751,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,10,1134.1744300020364,861.343508640783,99.77589693214097,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,11,1375.6451473362727,619.5576505781328,99.76013989572027,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,12,1217.1770406882479,773.0265427818549,99.51017917350514,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,13,1006.7179969324584,986.9834947548625,99.68507458436603,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,14,1417.7180375025455,575.0648888833211,99.63914631929333,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,warm,15,1336.312620300459,660.9655912579628,99.86391057792109,2000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,0,4446.462836038889,3549.2906897396615,99.94691907223188,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,1,5027.342065886569,2960.950484264561,99.85365687688913,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,2,4959.9822054358865,3030.0953980060713,99.87597004302448,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,3,4856.570532255649,3135.1240421624752,99.89618218022655,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,4,5013.104017433825,2983.223739476356,99.95409696137726,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,5,5318.014441137703,2670.6612211013635,99.85844577798834,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,6,4389.141571208084,3599.5868632235215,99.85910543039506,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,7,5018.8939790159875,2974.905223370933,99.92249002983651,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,8,4913.337337177691,3077.0661895297962,99.88004408384359,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,9,4941.514097251397,3050.98845057229,99.9062818477961,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,10,5360.377131833478,2632.9687526405974,99.91682355592594,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,11,4915.969438743283,3077.0661895297844,99.91294535341333,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,12,4834.442758617519,3153.39850072002,99.84801574171924,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,13,4913.414061936524,3077.066189529807,99.88100314332914,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,14,5306.435590374121,2683.239585639194,99.87093970016645,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,long,15,4820.241327508628,3174.6179856242857,99.93574141416143,8000.0,True
A200m1024_B32m1024_s4_r13_random_seed7,full,0,7939.221010014264,4876.859621141637,99.66823748182996,12850.13809996782,True
A200m1024_B32m1024_s4_r13_random_seed7,full,1,7939.221010014246,4876.859621141715,99.66823748183043,12858.741114482274,True
A200m1024_B32m1024_s4_r13_random_seed7,full,2,7939.221010014258,4876.859621141666,99.66823748183013,12838.949794048063,True
A200m1024_B32m1024_s4_r13_random_seed7,full,3,7939.221010014254,4876.8596211416925,99.6682374818303,12846.444503263472,True
A200m1024_B32m1024_s4_r13_random_seed7,full,4,7939.2210100142565,4876.859621141668,99.66823748183013,12850.823305784565,True
A200m1024_B32m1024_s4_r13_random_seed7,full,5,7939.22101001425,4876.859621141695,99.6682374818303,12846.321822286322,True
A200m1024_B32m1024_s4_r13_random_seed7,full,6,7939.221010014272,4876.859621141598,99.66823748182972,12840.886903435443,True
A200m1024_B32m1024_s4_r13_random_seed7,full,7,7939.221010014256,4876.8596211416825,99.66823748183025,12839.231112197225,True
A200m1024_B32m1024_s4_r13_random_seed7,full,8,7939.221010014258,4876.859621141664,99.66823748183012,12841.258531295516,True
A200m1024_B32m1024_s4_r13_random_seed7,full,9,7939.221010014267,4876.859621141615,99.66823748182982,12844.587366131853,True
A200m1024_B32m1024_s4_r13_random_seed7,full,10,7939.221010014246,4876.8596211417225,99.66823748183047,12841.28959082082,True
A200m1024_B32m1024_s4_r13_random_seed7,full,11,7939.221010014259,4876.85962114166,99.66823748183009,12843.528905804806,True
A200m1024_B32m1024_s4_r13_random_seed7,full,12,7939.221010014252,4876.8596211417,99.66823748183035,12854.60165649737,True
A200m1024_B32m1024_s4_r13_random_seed7,full,13,7939.221010014257,4876.859621141665,99.66823748183012,12855.755847566115,True
A200m1024_B32m1024_s4_r13_random_seed7,full,14,7939.221010014247,4876.8596211417125,99.66823748183043,12848.645354903256,True
A200m1024_B32m1024_s4_r13_random_seed7,full,15,7939.221010014248,4876.859621141717,99.66823748183045,12857.477887886078,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,0,1153.6288087066005,844.0304831393446,99.88296459229726,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,1,1066.4098524248975,928.9256421222235,99.76677472735605,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,2,950.9334212674503,1045.0413473875014,99.7987384327476,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,3,1134.1744300020364,861.7528906744142,99.79636603382252,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,4,850.6308225015273,1148.3207683455544,99.94757954235408,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,5,1068.0183684153253,928.9256421222235,99.84720052687744,2000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,warm,6,1500.7757547909682,499.2242452090318,100.0,2000.0,True
