length_k,miss,hit_tokens,C_ms,V_bytes,V_MB,B_GB_s,source_key,source,original_row
48,2048,47104,19.737809881246598,66322432,66.322432,3.360171792059597,"[48, 2048]",data,"[3.12940384453125, 19737.809881246598, 1539.5491707372346, 0.061767578125]"
48,4096,45056,39.330261341012616,63438848,63.438848,1.6129780438007808,"[48, 4096]",data,"[1.5022028645507812, 39330.261341012614, 3067.760384598984, 0.05908203125]"
64,64,65472,1.120094362734901,92184576,92.184576,82.30072310596732,"[64, 64]",data,"[76.6485213357651, 1120.0943627349009, 87.36736029332228, 0.08585357666015626]"
64,128,65408,1.849114595189163,92094464,92.094464,49.80462770647203,"[64, 128]",data,"[46.384174103356926, 1849.114595189163, 144.2309384247547, 0.0857696533203125]"
64,256,65280,3.3396570206571456,91914240,91.91424,27.522059729928195,"[64, 256]",data,"[25.63191552639771, 3339.6570206571455, 260.49324761125735, 0.085601806640625]"
64,512,65024,6.386487182261469,91553792,91.553792,14.335547756878235,"[64, 512]",data,"[13.351019245458986, 6386.487182261469, 498.14600021639455, 0.08526611328125]"
64,1024,64512,12.625940760424301,90832896,90.832896,7.194148754817024,"[64, 1024]",data,"[6.700073140502931, 12625.9407604243, 984.8233793130955, 0.0845947265625]"
64,2048,63488,25.106517917176127,89391104,89.391104,3.5604739890610175,"[64, 2048]",data,"[3.3159498023437504, 25106.517917176127, 1958.308397539738, 0.083251953125]"
64,4096,61440,50.06766996068876,86507520,86.50752,1.7278119806238723,"[64, 4096]",data,"[1.609150302246094, 50067.66996068876, 3905.2782569337237, 0.08056640625]"
80,64,81856,1.287866527447986,115253248,115.253248,89.49160921852969,"[80, 64]",data,"[83.34555590388337, 1287.8665274479858, 100.45358914094291, 0.10733795166015625]"
80,128,81792,2.1846589028459564,115163136,115.163136,52.71446991105885,"[80, 128]",data,"[49.0941758370575, 2184.6589028459566, 170.40339442198461, 0.10725402832031251]"
80,256,81664,4.010745621755773,114982912,114.982912,28.668712215576576,"[80, 256]",data,"[26.699818871521, 4010.745621755773, 312.8381584969503, 0.10708618164062501]"
80,512,81408,7.728664567017273,114622464,114.622464,14.830824006667466,"[80, 512]",data,"[13.812281197558594, 7728.664567017273, 602.8358362273473, 0.10675048828125001]"
80,1024,80896,15.310296145067996,113901568,113.901568,7.439540484440063,"[80, 1024]",data,"[6.928611997924805, 15310.296145067996, 1194.2030993153037, 0.10607910156250001]"
80,2048,79872,30.475232543852318,112459776,112.459776,3.6902023910129667,"[80, 2048]",data,"[3.436768791650391, 30475.23254385232, 2377.068138420481, 0.104736328125]"
80,4096,77824,60.80510334800196,109576192,109.576192,1.802088738717696,"[80, 4096]",data,"[1.6783259238281252, 60805.103348001954, 4742.798061144153, 0.10205078125]"
96,64,98240,1.4556386842956937,138321920,138.32192,95.02489971742311,"[96, 64]",data,"[88.49883425740815, 1455.6386842956936, 113.5398173750641, 0.12882232666015625]"
96,128,98176,2.520203244593126,138231808,138.231808,54.849468310369076,"[96, 128]",data,"[51.08254804310303, 2520.2032445931263, 196.57585307826383, 0.1287384033203125]"
96,256,98048,4.681834187647281,138051584,138.051584,29.48664529048044,"[96, 256]",data,"[27.461578408703613, 4681.834187647281, 365.183066636488, 0.128570556640625]"
96,512,97792,9.070841799535495,137691136,137.691136,15.179532290713192,"[96, 512]",data,"[14.137041094445802, 9070.841799535496, 707.5256603637688, 0.12823486328125]"
96,1024,97280,17.994649291033316,136970240,136.97024,7.611720450047997,"[96, 1024]",data,"[7.088967086791992, 17994.649291033315, 1403.5826447005984, 0.1275634765625]"
96,2048,96256,35.843938102938495,135528448,135.528448,3.78107024989225,"[96, 2048]",data,"[3.521396079931641, 35843.9381029385, 2795.8271720292028, 0.126220703125]"
96,4096,94208,71.5425212903747,132644864,132.644864,1.8540703012356092,"[96, 4096]",data,"[1.7267375264648437, 71542.52129037469, 5580.316660649225, 0.12353515625]"
112,64,114624,1.623410848883137,161390592,161.390592,99.41450872465981,"[112, 64]",data,"[92.58697621958314, 1623.4108488831369, 126.62604621288467, 0.15030670166015625]"
112,128,114560,2.8557475535748824,161300480,161.30048,56.482751704743926,"[112, 128]",data,"[52.60366173902893, 2855.747553574882, 222.7483091788408, 0.1502227783203125]"
112,256,114432,5.352922975902714,161120256,161.120256,30.099490824978435,"[112, 256]",data,"[28.03233528973389, 5352.922975902714, 417.5279921204117, 0.150054931640625]"
112,512,114176,10.413018725881523,160759808,160.759808,15.438348113254808,"[112, 512]",data,"[14.378082112646485, 10413.018725881522, 812.2154606187587, 0.14971923828125]"
112,1024,113664,20.679003603055826,160038912,160.038912,7.7391984194224115,"[112, 1024]",data,"[7.207690197436523, 20679.003603055826, 1612.9622810383544, 0.1490478515625]"
112,2048,112640,41.21264753509627,158597120,158.59712,3.8482633241395208,"[112, 2048]",data,"[3.583974506835938, 41212.64753509627, 3214.5865077375097, 0.147705078125]"
