request_id,npu_id,input_order,profile_id,seq_len_k,nql,category,arrival_ms,admission_ms,completion_ms,layer_compute_ms,layer_kv_gib,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_conditional_utilization
6000005,6,5,P1,32,128,SS,533.2390528556563,1254.6691232983655,1290.0147933715712,1.1780259589150035,0.0428009033203125,35.34567007320561,9.424207671319891,25.92146240188572,0.2666297640361916
6000006,6,6,P3,64,512,SL,566.169395185716,1290.0147933715712,1362.1563142873003,6.386487182261469,0.08526611328125,72.14152091572919,51.0918974580909,21.04962345763829,0.7082176367999362
6000007,6,7,P5,192,512,LL,595.950627453581,1362.1563142873003,1507.0367998129589,17.12390630166978,0.25714111328125,144.88048552565851,136.991250413359,7.889235112299502,0.9455465994355582
6000008,6,8,P5,192,512,LL,721.312270593528,1507.0367998129589,1645.5909779277536,17.12390630166978,0.25714111328125,138.5541781147947,136.991250413359,1.562927701435683,0.9887197360433204
6000009,6,9,P7,192,2048,LL,873.109216560258,1645.5909779277536,2190.0404671504234,68.05618615283375,0.255126953125,354.40902207224644,354.40902207224644,0.0,1.0
7000002,7,2,P7,192,2048,LL,0,636.2944531142715,1180.7439423369417,68.05618615283375,0.255126953125,180.7439423369417,180.7439423369417,0.0,1.0
7000003,7,3,P7,192,2048,LL,0,1180.7439423369417,1725.193431559612,68.05618615283375,0.255126953125,544.4494892226703,544.4494892226703,0.0,1.0
7000004,7,4,P5,192,512,LL,476.99176473305715,1725.193431559612,1862.184681972971,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
7000005,7,5,P2,32,256,SS,627.2510593022312,1862.184681972971,1886.0498633614293,1.9974796959734433,0.042633056640625,23.865181388458268,15.9798375677874,7.885343820670869,0.6695879368222863
7000006,7,6,P5,192,512,LL,674.2293848003627,1886.0498633614293,2026.4288640881268,17.12390630166978,0.25714111328125,113.95013663857071,110.56238632523218,3.387750313338529,0.9702698880995302
8000004,8,4,P7,192,2048,LL,136.10060050047824,908.2828032129586,1452.7322924356288,68.05618615283375,0.255126953125,452.7322924356288,452.7322924356288,0.0,1.0
8000005,8,5,P3,64,512,SL,630.375566942065,1452.7322924356288,1568.3391756154253,6.386487182261469,0.08526611328125,115.60688317979657,51.0918974580909,64.51498572170567,0.4419451165258965
8000006,8,6,P4,96,512,LL,693.0440873008581,1568.3391756154253,1657.7457134602384,9.070841799535495,0.12823486328125,89.4065378448131,72.56673439628321,16.839803448529892,0.8116490823326646
8000007,8,7,P6,192,1024,LL,758.9539768056993,1657.7457134602384,1931.8834228719911,34.100781654707006,0.2564697265625,274.13770941175267,272.80625323765526,1.3314561740974113,0.9951431119164362
8000008,8,8,P7,192,2048,LL,1093.5530715194789,1931.8834228719911,2476.33291209466,68.05618615283375,0.255126953125,68.11657712800888,68.11657712800888,0.0,1.0
9000003,9,3,P7,192,2048,LL,0,575.9051960026758,1120.354685225346,68.05618615283375,0.255126953125,120.35468522534597,120.35468522534597,0.0,1.0
9000004,9,4,P7,192,2048,LL,486.3406852301978,1120.354685225346,1664.8041744480163,68.05618615283375,0.255126953125,544.4494892226703,544.4494892226703,0.0,1.0
9000005,9,5,P1,32,128,SS,1104.5442037092093,1664.8041744480163,1705.2506942504774,1.1780259589150035,0.0428009033203125,40.446519802461125,9.424207671319891,31.022312131141234,0.23300416741285213
9000006,9,6,P1,32,128,SS,1135.7216234460552,1705.2506942504774,1753.2800216430555,1.1780259589150035,0.0428009033203125,48.029327392578125,9.424207671319891,38.605119721258234,0.1962177732427749
9000007,9,7,P7,192,2048,LL,1165.336789362984,1753.2800216430555,2301.6583201363023,68.05618615283375,0.255126953125,246.71997835694447,242.7911690863673,3.928809270577176,0.984075836514167
10000003,10,3,P6,192,1024,LL,0,775.9034724973562,1048.7097257350124,34.100781654707006,0.2564697265625,48.7097257350124,48.7097257350124,0.0,1.0
10000004,10,4,P3,64,512,SL,245.68594030150052,1048.7097257350124,1106.0691248573114,6.386487182261469,0.08526611328125,57.35939912229901,51.0918974580909,6.267501664208112,0.8907327873005636
