case,family,kind,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,equal_npu_slo_pct,request_weighted_slo_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_cohort_fingerprint,input_simulator_fingerprint,all_invariants_passed,source_artifact
layer_once_ttl_2ms,ttl,layer_once,5,2.0,0.0,0.0,92.54898857618385,2.0,1.5,88.1113227507142,88.13868613138686,78.25651915701258,77.91970802919708,548,9,18.0,25,6fdc9e506ba6348fb153ffc4f57f3dc45daa10296716b3f0787cf72d2e7a54e4,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/frozen32_ssu5_ttl2_measure8_backing128.json
layer_once_ttl_5ms,ttl,layer_once,5,5.0,0.0,0.0,92.51781229960436,2.0,1.5,87.87903676978691,87.5,77.88275989123386,76.83823529411765,544,9,18.0,25,ecd0b0f25914fafc004258413c21c1ae15222e7154b8884cb3c72b8e38ac45d4,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
adaptive_t0_i25ms,threshold_interval,adaptive,5,0.0,0.0,25.0,91.6713621653698,2.0,1.5,92.5693838889224,92.05776173285199,76.44086141631131,75.27075812274369,554,9,16.5,28,363b87bbc6321ac279c2b48bedf492020bf7c02c8e53b325baf3d801b28a9c95,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
adaptive_t0_i100ms,interval,adaptive,5,0.0,0.0,100.0,92.09786755110328,2.0,1.5,86.13630086650397,85.4054054054054,76.81794338751608,75.31531531531532,555,7,17.0,29,94a65f8ced39e3db23d2cdd6a1f75ce793a09629d70c623118e13cda47c57031,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
adaptive_t0_i200ms,interval,adaptive,5,0.0,0.0,200.0,92.76598689487032,2.0,1.5,82.99815076779086,81.86813186813187,75.14274183902184,73.80952380952381,546,6,17.0,26,f37046adf5f2a988bc2f9dd272148efb05ae8db1090ae11f19e162c04f1e18cc,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
baseline,baseline,baseline,6,0.0,0.0,0.0,97.11210077113167,2.0,1.5,87.73418504963905,86.86868686868688,83.42779702515725,81.98653198653199,594,8,17.0,30,60e27ca6bb3d042e1f95b8b52225fe5a3d891d71aaea2a9cc0c3acca3652d7dd,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_0ms,ttl,layer_once,6,0.0,0.0,0.0,96.91402539529199,2.0,1.5,92.79869746407525,92.29480737018424,86.32513790018861,85.09212730318258,597,8,17.0,30,8e9d15de6f77600dced5e5e295ed6b9676c3bfdcabab063fc2ab2bfe50f364d4,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_2ms,ttl,layer_once,6,2.0,0.0,0.0,96.91153378809543,2.0,1.5,93.43676512558041,92.79731993299832,86.75043288033439,85.42713567839196,597,8,17.0,30,0f5a9b4a5381a4abca66cd8e7a916b744cac1430d526c9b8873a0a6a17d12aa4,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_5ms,ttl,layer_once,6,5.0,0.0,0.0,96.74926946778646,2.0,1.5,92.13473584185385,91.47157190635451,86.55371005579332,85.61872909698997,598,8,17.5,30,0264131b93fb759d7e56f85162c8c965cb59ef9c2bc76813763e4060c5383a6b,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i25ms,threshold_interval,adaptive,6,0.0,0.0,25.0,97.15814659078426,2.0,1.5,94.99040588700515,94.7107438016529,88.04885356677636,86.94214876033057,605,8,18.0,33,a47e5cad2c430539e104bb48f73a81a4b024a6c38300ef94a869b6eceb55ed5b,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
