scenario,policy,latency_ratio,mean_cdf
semi,once,1.1872666134542145,0.9708869893510307
semi,once,1.1988608970538386,0.9727702285224056
semi,once,1.2082051765793789,0.9746534676937803
semi,once,1.2100735066680623,0.9766859880189834
semi,once,1.2202406283489355,0.9785692271903583
semi,once,1.2253088828229697,0.980452466361733
semi,once,1.2432242702882998,0.9823357055331079
semi,once,1.3294959127440962,0.9842189447044826
semi,once,1.3306493942767137,0.9861021838758574
semi,once,1.333457738356887,0.9879854230472321
semi,once,1.4905640126794413,0.9898686622186069
semi,once,1.5,0.9898686622186069
semi,once,1.5165730912314335,0.9919011825438102
semi,once,1.5665852186735416,0.9939337028690134
semi,once,1.623208300255774,0.9958169420403881
semi,once,1.6819531149452258,0.9979674796747968
semi,once,1.806623675838808,1.0
semi,static,0.9999999999999648,0.025664547269898436
semi,static,0.99999999999997,0.045577566246462566
semi,static,0.999999999999979,0.04754995283423377
semi,static,0.9999999999999932,0.07551128915677412
semi,static,0.9999999999999943,0.10534700528011565
semi,static,0.9999999999999952,0.1330447033457067
semi,static,0.9999999999999954,0.13494946525046858
semi,static,0.9999999999999958,0.1370198586252098
semi,static,0.9999999999999963,0.15476447744006272
semi,static,0.9999999999999966,0.15673686402783393
semi,static,0.9999999999999969,0.18200252367476447
semi,static,0.999999999999997,0.20562705967388242
semi,static,0.9999999999999973,0.20966983963639482
semi,static,0.9999999999999978,0.23947517365577564
semi,static,0.999999999999998,0.2795952319698139
semi,static,0.9999999999999983,0.2815676185575851
semi,static,0.9999999999999986,0.30568904896664095
semi,static,0.9999999999999988,0.30775944234138214
semi,static,0.9999999999999989,0.3136089774216864
semi,static,0.999999999999999,0.3155137393264484
semi,static,0.9999999999999994,0.3629960674776728
semi,static,0.9999999999999999,0.36920724760189644
semi,static,1.0000000000000004,0.3733480343513788
semi,static,1.0000000000000007,0.3911906599532018
semi,static,1.000000000000001,0.5327570534259497
semi,static,1.0000000000000013,0.5407446065640046
semi,static,1.0000000000000016,0.5840861479657466
semi,static,1.0000000000000022,0.6079743222218138
semi,static,1.0000000000000027,0.6121151089712963
semi,static,1.000000000000003,0.6357396449704141
semi,static,1.0000000000000033,0.6478679848579515
semi,static,1.0000000000000047,0.6993558503926396
semi,static,1.00000000000001,0.7248175236135103
semi,static,1.000000000000016,0.7599382557242089
semi,static,1.0000000000000586,0.7873723155328506
semi,static,1.0000000000001046,0.8129388560157791
semi,static,1.0002834298441579,0.8149112426035502
semi,static,1.0004846706403825,0.8168160045083122
semi,static,1.0005562449496235,0.8187207664130741
semi,static,1.000651681134421,0.820625528317836
semi,static,1.0011141225406368,0.8225979149056073
semi,static,1.0012233013804879,0.8246683082803484
semi,static,1.0012918090077085,0.8266406948681196
semi,static,1.0013541554076026,0.8285454567728815
semi,static,1.0014742894675672,0.8306158501476227
semi,static,1.0015025063778282,0.8325206120523846
semi,static,1.001728965097568,0.8344929986401558
semi,static,1.0028862564777556,0.836465385227927
semi,static,1.0033993944712678,0.8384377718156982
