scenario,policy,seed,window,npu_id,U_percent
full,aggressive,43,full_population,14,61.906318286897864
full,aggressive,43,full_population,15,61.906318286897914
full,aggressive,43,full_population,16,61.906318286897815
full,aggressive,43,full_population,17,61.90631828689784
full,aggressive,43,full_population,18,61.906318286897815
full,aggressive,43,full_population,19,61.90631828689796
full,aggressive,43,full_population,20,61.90631828689779
full,aggressive,43,full_population,21,61.90631828689765
full,aggressive,43,full_population,22,61.906318286897815
full,aggressive,43,full_population,23,61.90631828689768
full,aggressive,43,full_population,24,61.906318286897765
full,aggressive,43,full_population,25,61.906318286897786
full,aggressive,43,full_population,26,61.906318286897886
full,aggressive,43,full_population,27,61.90631828689788
full,aggressive,43,full_population,28,61.90631828689784
full,aggressive,43,full_population,29,61.90631828689782
full,aggressive,43,full_population,30,61.90631828689784
full,aggressive,43,full_population,31,61.906318286897815
full,aggressive,7,warm_2_4s,0,62.23298486588972
full,aggressive,7,warm_2_4s,1,73.41100986398261
full,aggressive,7,warm_2_4s,2,65.92676218954325
full,aggressive,7,warm_2_4s,3,59.20093274949552
full,aggressive,7,warm_2_4s,4,67.34558217427907
full,aggressive,7,warm_2_4s,5,55.77740604151113
full,aggressive,7,warm_2_4s,6,73.67795912176145
full,aggressive,7,warm_2_4s,7,69.37633640196647
full,aggressive,7,warm_2_4s,8,60.96488909913617
full,aggressive,7,warm_2_4s,9,65.33836625183736
full,aggressive,7,warm_2_4s,10,67.25595195251385
full,aggressive,7,warm_2_4s,11,57.43922796072554
full,aggressive,7,warm_2_4s,12,51.12887494593787
full,aggressive,7,warm_2_4s,13,78.90040697464266
full,aggressive,7,warm_2_4s,14,68.79662673996803
full,aggressive,7,warm_2_4s,15,61.906353372967374
full,aggressive,7,warm_2_4s,16,60.898293540189464
full,aggressive,7,warm_2_4s,17,69.23611669396973
full,aggressive,7,warm_2_4s,18,52.4138623294198
full,aggressive,7,warm_2_4s,19,66.17294149203946
full,aggressive,7,warm_2_4s,20,69.58901740602448
full,aggressive,7,warm_2_4s,21,64.98611446184675
full,aggressive,7,warm_2_4s,22,58.3638301483609
full,aggressive,7,warm_2_4s,23,64.56758330051665
full,aggressive,7,warm_2_4s,24,63.409106442535084
full,aggressive,7,warm_2_4s,25,72.84326333985588
full,aggressive,7,warm_2_4s,26,68.08039585932589
full,aggressive,7,warm_2_4s,27,66.13427098984684
full,aggressive,7,warm_2_4s,28,60.45685529383989
full,aggressive,7,warm_2_4s,29,63.29240772904592
full,aggressive,7,warm_2_4s,30,70.56431989163376
full,aggressive,7,warm_2_4s,31,68.51850027808992
full,aggressive,7,long_2_6s,0,57.79465917951858
full,aggressive,7,long_2_6s,1,73.36969990915264
full,aggressive,7,long_2_6s,2,63.419132163531685
full,aggressive,7,long_2_6s,3,65.60661018892405
full,aggressive,7,long_2_6s,4,65.57917278764965
full,aggressive,7,long_2_6s,5,63.0941283165097
full,aggressive,7,long_2_6s,6,61.73271609458199
full,aggressive,7,long_2_6s,7,61.320503993280205
full,aggressive,7,long_2_6s,8,61.75511218568632
full,aggressive,7,long_2_6s,9,65.47040092026154
full,aggressive,7,long_2_6s,10,67.51048026534995
full,aggressive,7,long_2_6s,11,58.297430490425214
full,aggressive,7,long_2_6s,12,58.45159365609138
full,aggressive,7,long_2_6s,13,70.98054145874956
full,aggressive,7,long_2_6s,14,68.56864018484004
full,aggressive,7,long_2_6s,15,59.459238655906894
full,aggressive,7,long_2_6s,16,51.52304426869182
full,aggressive,7,long_2_6s,17,67.07878015145286
full,aggressive,7,long_2_6s,18,52.116774130359694
full,aggressive,7,long_2_6s,19,58.105071976364606
full,aggressive,7,long_2_6s,20,66.41584713201522
full,aggressive,7,long_2_6s,21,62.56047729750054
full,aggressive,7,long_2_6s,22,59.11930941225184
full,aggressive,7,long_2_6s,23,65.14141584434607
full,aggressive,7,long_2_6s,24,57.514486116395545
full,aggressive,7,long_2_6s,25,66.53001348967754
full,aggressive,7,long_2_6s,26,61.606826797189996
full,aggressive,7,long_2_6s,27,66.9903893533268
full,aggressive,7,long_2_6s,28,61.7274383771619
full,aggressive,7,long_2_6s,29,57.51829934736124
full,aggressive,7,long_2_6s,30,73.68800626087508
full,aggressive,7,long_2_6s,31,66.3124487282587
full,aggressive,7,full_population,0,60.66145021580189
full,aggressive,7,full_population,1,60.66145021580189
full,aggressive,7,full_population,2,60.66145021580185
full,aggressive,7,full_population,3,60.661450215802105
full,aggressive,7,full_population,4,60.66145021580166
full,aggressive,7,full_population,5,60.661450215801985
full,aggressive,7,full_population,6,60.66145021580204
full,aggressive,7,full_population,7,60.66145021580176
full,aggressive,7,full_population,8,60.66145021580172
full,aggressive,7,full_population,9,60.661450215802056
full,aggressive,7,full_population,10,60.66145021580194
full,aggressive,7,full_population,11,60.66145021580184
full,aggressive,7,full_population,12,60.66145021580184
full,aggressive,7,full_population,13,60.66145021580203
full,aggressive,7,full_population,14,60.6614502158019
full,aggressive,7,full_population,15,60.66145021580185
full,aggressive,7,full_population,16,60.66145021580171
full,aggressive,7,full_population,17,60.66145021580201
full,aggressive,7,full_population,18,60.66145021580181
full,aggressive,7,full_population,19,60.661450215802006
full,aggressive,7,full_population,20,60.66145021580201
full,aggressive,7,full_population,21,60.661450215801864
full,aggressive,7,full_population,22,60.66145021580167
full,aggressive,7,full_population,23,60.661450215801864
full,aggressive,7,full_population,24,60.66145021580188
full,aggressive,7,full_population,25,60.66145021580176
full,aggressive,7,full_population,26,60.66145021580175
full,aggressive,7,full_population,27,60.66145021580181
full,aggressive,7,full_population,28,60.66145021580201
full,aggressive,7,full_population,29,60.661450215801985
full,aggressive,7,full_population,30,60.661450215801864
full,aggressive,7,full_population,31,60.66145021580171
full,asu_baseline,19,warm_2_4s,0,51.81894221076477
full,asu_baseline,19,warm_2_4s,1,81.66611421923683
full,asu_baseline,19,warm_2_4s,2,68.25161979817446
full,asu_baseline,19,warm_2_4s,3,81.93733240688829
full,asu_baseline,19,warm_2_4s,4,60.96785923466966
full,asu_baseline,19,warm_2_4s,5,54.20650635758047
full,asu_baseline,19,warm_2_4s,6,52.219230331680855
full,asu_baseline,19,warm_2_4s,7,54.96454280670734
full,asu_baseline,19,warm_2_4s,8,55.679530172902055
full,asu_baseline,19,warm_2_4s,9,60.73115551561507
full,asu_baseline,19,warm_2_4s,10,34.56571991059374
full,asu_baseline,19,warm_2_4s,11,41.33952807112608
full,asu_baseline,19,warm_2_4s,12,59.30428522014942
full,asu_baseline,19,warm_2_4s,13,53.91941360374823
full,asu_baseline,19,warm_2_4s,14,69.56066681091365
full,asu_baseline,19,warm_2_4s,15,37.09427539797673
full,asu_baseline,19,warm_2_4s,16,92.4432791628617
full,asu_baseline,19,warm_2_4s,17,79.65195049338669
full,asu_baseline,19,warm_2_4s,18,90.703803319999
full,asu_baseline,19,warm_2_4s,19,44.375810978380514
full,asu_baseline,19,warm_2_4s,20,63.4909568287411
full,asu_baseline,19,warm_2_4s,21,45.42447123923887
full,asu_baseline,19,warm_2_4s,22,86.55077844493042
full,asu_baseline,19,warm_2_4s,23,56.97764206723758
full,asu_baseline,19,warm_2_4s,24,33.78442519753214
full,asu_baseline,19,warm_2_4s,25,36.767240159380044
full,asu_baseline,19,warm_2_4s,26,73.43064098888568
full,asu_baseline,19,warm_2_4s,27,55.32581839066402
full,asu_baseline,19,warm_2_4s,28,64.31626998283681
full,asu_baseline,19,warm_2_4s,29,57.13451183662219
full,asu_baseline,19,warm_2_4s,30,84.08249510651305
full,asu_baseline,19,warm_2_4s,31,76.6998269954641
full,asu_baseline,19,long_2_6s,0,71.47650149653992
full,asu_baseline,19,long_2_6s,1,59.8963850988069
full,asu_baseline,19,long_2_6s,2,74.37120530083848
full,asu_baseline,19,long_2_6s,3,75.89331724613893
full,asu_baseline,19,long_2_6s,4,61.742159357157796
full,asu_baseline,19,long_2_6s,5,60.7928175823475
full,asu_baseline,19,long_2_6s,6,68.36828134365578
full,asu_baseline,19,long_2_6s,7,60.76620062867049
full,asu_baseline,19,long_2_6s,8,60.76284332129244
full,asu_baseline,19,long_2_6s,9,60.72082322538525
full,asu_baseline,19,long_2_6s,10,65.0514147166243
full,asu_baseline,19,long_2_6s,11,65.63746211836701
full,asu_baseline,19,long_2_6s,12,72.21158804591242
full,asu_baseline,19,long_2_6s,13,59.33042373028473
full,asu_baseline,19,long_2_6s,14,70.84427411296734
full,asu_baseline,19,long_2_6s,15,53.99160086502756
full,asu_baseline,19,long_2_6s,16,67.38131833574046
full,asu_baseline,19,long_2_6s,17,76.77575503331495
full,asu_baseline,19,long_2_6s,18,62.20881076645108
full,asu_baseline,19,long_2_6s,19,68.0881656483796
full,asu_baseline,19,long_2_6s,20,78.04141653475462
full,asu_baseline,19,long_2_6s,21,42.50452085935709
full,asu_baseline,19,long_2_6s,22,75.53316256661707
full,asu_baseline,19,long_2_6s,23,64.81779473238252
full,asu_baseline,19,long_2_6s,24,49.19768326747486
full,asu_baseline,19,long_2_6s,25,66.82433140778951
full,asu_baseline,19,long_2_6s,26,67.06270523934009
full,asu_baseline,19,long_2_6s,27,51.89466544878314
full,asu_baseline,19,long_2_6s,28,64.20425554714234
full,asu_baseline,19,long_2_6s,29,74.05203189463218
full,asu_baseline,19,long_2_6s,30,73.65945734182682
full,asu_baseline,19,long_2_6s,31,83.56365424868625
full,asu_baseline,19,full_population,0,61.285552285413225
full,asu_baseline,19,full_population,1,61.28555228541309
full,asu_baseline,19,full_population,2,61.285552285413154
full,asu_baseline,19,full_population,3,61.28555228541317
full,asu_baseline,19,full_population,4,61.285552285413026
full,asu_baseline,19,full_population,5,61.28555228541313
full,asu_baseline,19,full_population,6,61.28555228541307
full,asu_baseline,19,full_population,7,61.28555228541305
full,asu_baseline,19,full_population,8,61.285552285413274
full,asu_baseline,19,full_population,9,61.285552285412976
full,asu_baseline,19,full_population,10,61.2855522854133
full,asu_baseline,19,full_population,11,61.285552285413154
full,asu_baseline,19,full_population,12,61.28555228541317
full,asu_baseline,19,full_population,13,61.285552285413
full,asu_baseline,19,full_population,14,61.28555228541295
full,asu_baseline,19,full_population,15,61.28555228541295
full,asu_baseline,19,full_population,16,61.2855522854133
full,asu_baseline,19,full_population,17,61.28555228541318
full,asu_baseline,19,full_population,18,61.28555228541295
full,asu_baseline,19,full_population,19,61.2855522854132
full,asu_baseline,19,full_population,20,61.28555228541305
full,asu_baseline,19,full_population,21,61.28555228541317
full,asu_baseline,19,full_population,22,61.28555228541305
full,asu_baseline,19,full_population,23,61.285552285413104
full,asu_baseline,19,full_population,24,61.28555228541318
full,asu_baseline,19,full_population,25,61.285552285413274
full,asu_baseline,19,full_population,26,61.285552285413075
full,asu_baseline,19,full_population,27,61.28555228541313
full,asu_baseline,19,full_population,28,61.285552285412976
full,asu_baseline,19,full_population,29,61.285552285413296
full,asu_baseline,19,full_population,30,61.28555228541319
full,asu_baseline,19,full_population,31,61.28555228541289
full,asu_baseline,43,warm_2_4s,0,75.73172440360123
full,asu_baseline,43,warm_2_4s,1,71.21048318339393
full,asu_baseline,43,warm_2_4s,2,55.26524899900499
full,asu_baseline,43,warm_2_4s,3,82.43672990039389
full,asu_baseline,43,warm_2_4s,4,62.821719946203984
full,asu_baseline,43,warm_2_4s,5,63.541857830524634
full,asu_baseline,43,warm_2_4s,6,52.114045612964446
full,asu_baseline,43,warm_2_4s,7,51.507657098163165
full,asu_baseline,43,warm_2_4s,8,67.84074678133862
full,asu_baseline,43,warm_2_4s,9,78.57629782064268
full,asu_baseline,43,warm_2_4s,10,43.803497002863274
full,asu_baseline,43,warm_2_4s,11,82.05721240303285
full,asu_baseline,43,warm_2_4s,12,24.276595460610782
full,asu_baseline,43,warm_2_4s,13,33.588469634488845
full,asu_baseline,43,warm_2_4s,14,37.433138138152174
full,asu_baseline,43,warm_2_4s,15,75.07548905918523
full,asu_baseline,43,warm_2_4s,16,63.594959132187185
full,asu_baseline,43,warm_2_4s,17,45.8421305062883
full,asu_baseline,43,warm_2_4s,18,24.958568468542115
full,asu_baseline,43,warm_2_4s,19,41.503550642775934
full,asu_baseline,43,warm_2_4s,20,52.93520184721251
full,asu_baseline,43,warm_2_4s,21,35.81497461971741
full,asu_baseline,43,warm_2_4s,22,27.402412016974754
full,asu_baseline,43,warm_2_4s,23,70.79274093950103
full,asu_baseline,43,warm_2_4s,24,43.349304843378754
full,asu_baseline,43,warm_2_4s,25,83.9558359497312
full,asu_baseline,43,warm_2_4s,26,40.58958062313252
full,asu_baseline,43,warm_2_4s,27,54.26618423400992
full,asu_baseline,43,warm_2_4s,28,57.93223952104401
full,asu_baseline,43,warm_2_4s,29,91.21070165201914
full,asu_baseline,43,warm_2_4s,30,43.4876981939638
full,asu_baseline,43,warm_2_4s,31,63.019673053555415
full,asu_baseline,43,long_2_6s,0,60.22182331092963
full,asu_baseline,43,long_2_6s,1,53.822854842624125
full,asu_baseline,43,long_2_6s,2,61.892734454911455
full,asu_baseline,43,long_2_6s,3,72.99816397459995
full,asu_baseline,43,long_2_6s,4,57.81946261633624
full,asu_baseline,43,long_2_6s,5,61.35443287298294
full,asu_baseline,43,long_2_6s,6,63.94321078501416
full,asu_baseline,43,long_2_6s,7,57.30294147345337
full,asu_baseline,43,long_2_6s,8,72.32159376465744
full,asu_baseline,43,long_2_6s,9,70.1641727754636
full,asu_baseline,43,long_2_6s,10,53.04534890979489
full,asu_baseline,43,long_2_6s,11,61.447412822729184
full,asu_baseline,43,long_2_6s,12,52.300867272173576
full,asu_baseline,43,long_2_6s,13,56.240435843458016
full,asu_baseline,43,long_2_6s,14,54.54105937635763
full,asu_baseline,43,long_2_6s,15,60.96835978007425
full,asu_baseline,43,long_2_6s,16,70.77410986289142
full,asu_baseline,43,long_2_6s,17,63.26294165892808
full,asu_baseline,43,long_2_6s,18,54.547039690676236
full,asu_baseline,43,long_2_6s,19,68.45215249718142
full,asu_baseline,43,long_2_6s,20,53.89942252111456
full,asu_baseline,43,long_2_6s,21,48.7384917895987
full,asu_baseline,43,long_2_6s,22,45.290987536277505
full,asu_baseline,43,long_2_6s,23,60.98412993273896
full,asu_baseline,43,long_2_6s,24,49.18042932072409
full,asu_baseline,43,long_2_6s,25,75.8297238774893
full,asu_baseline,43,long_2_6s,26,55.903595655358856
full,asu_baseline,43,long_2_6s,27,57.839626174896296
full,asu_baseline,43,long_2_6s,28,73.28588999954509
full,asu_baseline,43,long_2_6s,29,84.29836664272916
full,asu_baseline,43,long_2_6s,30,65.14120908078918
full,asu_baseline,43,long_2_6s,31,77.29992611140153
full,asu_baseline,43,full_population,0,61.10250561140157
full,asu_baseline,43,full_population,1,61.10250561140162
full,asu_baseline,43,full_population,2,61.10250561140159
full,asu_baseline,43,full_population,3,61.10250561140167
full,asu_baseline,43,full_population,4,61.10250561140151
full,asu_baseline,43,full_population,5,61.10250561140151
full,asu_baseline,43,full_population,6,61.10250561140167
full,asu_baseline,43,full_population,7,61.102505611401625
full,asu_baseline,43,full_population,8,61.10250561140162
full,asu_baseline,43,full_population,9,61.10250561140173
full,asu_baseline,43,full_population,10,61.10250561140167
full,asu_baseline,43,full_population,11,61.10250561140162
full,asu_baseline,43,full_population,12,61.10250561140151
full,asu_baseline,43,full_population,13,61.10250561140177
full,asu_baseline,43,full_population,14,61.10250561140164
full,asu_baseline,43,full_population,15,61.10250561140159
full,asu_baseline,43,full_population,16,61.10250561140162
full,asu_baseline,43,full_population,17,61.10250561140167
full,asu_baseline,43,full_population,18,61.10250561140164
full,asu_baseline,43,full_population,19,61.10250561140178
full,asu_baseline,43,full_population,20,61.10250561140168
full,asu_baseline,43,full_population,21,61.10250561140143
full,asu_baseline,43,full_population,22,61.10250561140167
full,asu_baseline,43,full_population,23,61.10250561140143
full,asu_baseline,43,full_population,24,61.102505611401575
full,asu_baseline,43,full_population,25,61.10250561140159
full,asu_baseline,43,full_population,26,61.10250561140171
full,asu_baseline,43,full_population,27,61.10250561140172
full,asu_baseline,43,full_population,28,61.10250561140169
full,asu_baseline,43,full_population,29,61.10250561140162
full,asu_baseline,43,full_population,30,61.10250561140168
full,asu_baseline,43,full_population,31,61.10250561140159
full,asu_baseline,7,warm_2_4s,0,48.14006552961989
full,asu_baseline,7,warm_2_4s,1,95.6944521057512
full,asu_baseline,7,warm_2_4s,2,50.60279595430061
full,asu_baseline,7,warm_2_4s,3,57.41043932006111
full,asu_baseline,7,warm_2_4s,4,53.51659816825243
full,asu_baseline,7,warm_2_4s,5,64.43971209965684
full,asu_baseline,7,warm_2_4s,6,74.59862391821098
full,asu_baseline,7,warm_2_4s,7,70.82961881283073
full,asu_baseline,7,warm_2_4s,8,44.791638789697956
full,asu_baseline,7,warm_2_4s,9,79.32371657688178
full,asu_baseline,7,warm_2_4s,10,79.3145769959262
full,asu_baseline,7,warm_2_4s,11,77.01241626056816
full,asu_baseline,7,warm_2_4s,12,61.24953468411707
full,asu_baseline,7,warm_2_4s,13,69.90518126521654
full,asu_baseline,7,warm_2_4s,14,85.64190681901067
full,asu_baseline,7,warm_2_4s,15,62.95923131105944
