scenario,policy,seed,request_id,npu_id,category,profile,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,in_warm_2_4s,in_long_2_6s
semi,static,19,19000013,19,LL,L200_M4096,6141.7740337482055,7272.460339983739,1130.6863062355333,1130.6863062355314,1.0000000000000016,True,False,False
semi,static,19,19000014,19,SL,L32_M1024,7272.460339983739,7330.518192616374,58.05785263263533,58.057852632638046,0.9999999999999533,True,False,False
semi,static,19,19000015,19,SS,L32_M256,7330.518192616374,7346.49803018416,15.97983756778558,15.979837567787547,0.999999999999877,True,False,False
semi,static,19,19000016,19,LL,L160_M1024,7346.49803018416,7578.631305594632,232.13327541047238,229.85653940820262,1.0099050303642938,True,False,False
semi,static,19,19000017,19,SL,L80_M2048,7578.631305594632,7822.433165945449,243.80186035081715,243.80186035081854,0.9999999999999943,True,False,False
semi,static,19,19000018,19,SL,L32_M4096,7822.433165945449,8051.175901912497,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,False
semi,static,19,19000019,19,SS,L80_M256,8051.175901912497,8083.261866886542,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,False
semi,static,19,19000020,19,SL,L80_M4096,8083.261866886542,8569.70269367056,486.440826784019,486.44082678401566,1.0000000000000069,True,False,False
semi,static,19,19000021,19,SS,L64_M256,8569.70269367056,8596.419949835816,26.717256165255094,26.717256165257165,0.9999999999999225,True,False,False
semi,static,19,19000022,19,LL,L160_M4096,8596.419949835816,9522.847197898707,926.4272480628915,915.9373744307104,1.0114526101074333,True,False,False
semi,static,19,19000023,19,LS,L160_M256,9522.847197898707,9581.77670856897,58.92951067026297,58.92951067026337,0.9999999999999932,True,False,False
semi,static,19,19000024,19,LS,L200_M256,9581.77670856897,9654.12799285102,72.35128428204916,72.35128428205302,0.9999999999999468,True,False,False
semi,static,19,19000025,19,LL,L128_M1024,9654.12799285102,9841.034870741903,186.90687789088406,186.90687789087698,1.000000000000038,True,False,False
semi,static,19,19000026,19,SL,L64_M4096,9841.034870741903,10241.57623042741,400.5413596855069,400.5413596855101,0.999999999999992,True,False,False
semi,static,19,19000027,19,SL,L64_M1024,10241.57623042741,10342.583756510809,101.00752608339826,101.00752608339441,1.0000000000000382,True,False,False
semi,static,19,19000028,19,SL,L80_M4096,10342.583756510809,10829.024583294828,486.440826784019,486.44082678401566,1.0000000000000069,True,False,False
semi,static,19,19000029,19,LL,L128_M2048,10829.024583294828,11201.675452769428,372.65086947460077,372.6508694745985,1.000000000000006,True,False,False
