scenario,policy,seed,window,category,count,passed,percent,active_U_percent
full,od_baseline,43,long_2_6s,SL,102,86,84.31372549019608,89.20767681517096
full,od_baseline,43,long_2_6s,LS,95,0,0.0,16.180481424495227
full,od_baseline,43,long_2_6s,LL,116,68,58.62068965517241,83.40536603006339
full,od_baseline,43,full_population,SS,288,3,1.0416666666666667,19.38133900676989
full,od_baseline,43,full_population,SL,384,312,81.25,88.64267103207166
full,od_baseline,43,full_population,LS,288,0,0.0,16.358953940295347
full,od_baseline,43,full_population,LL,384,238,61.979166666666664,83.90581895873781
full,od_baseline,7,warm_2_4s,SS,38,0,0.0,18.348235353975827
full,od_baseline,7,warm_2_4s,SL,53,38,71.69811320754717,85.92095209408171
full,od_baseline,7,warm_2_4s,LS,43,0,0.0,15.72837034419639
full,od_baseline,7,warm_2_4s,LL,57,28,49.12280701754386,81.19968678811972
full,od_baseline,7,long_2_6s,SS,81,0,0.0,18.627998431434143
full,od_baseline,7,long_2_6s,SL,117,88,75.21367521367522,86.55778260392361
full,od_baseline,7,long_2_6s,LS,78,0,0.0,15.781652369047965
full,od_baseline,7,long_2_6s,LL,120,57,47.5,80.58645738631375
full,od_baseline,7,full_population,SS,288,2,0.6944444444444444,19.439312036301985
full,od_baseline,7,full_population,SL,384,317,82.55208333333333,88.4771515171268
full,od_baseline,7,full_population,LS,288,0,0.0,16.328168013912098
full,od_baseline,7,full_population,LL,384,222,57.8125,83.43846383456761
full,once,19,warm_2_4s,SS,32,32,100.0,97.07937250954372
full,once,19,warm_2_4s,SL,62,62,100.0,98.74708174578298
full,once,19,warm_2_4s,LS,42,32,76.19047619047619,76.03110566927644
full,once,19,warm_2_4s,LL,55,14,25.454545454545453,50.318033073698004
full,once,19,long_2_6s,SS,76,75,98.6842105263158,96.42820119906341
full,once,19,long_2_6s,SL,121,111,91.73553719008264,93.42206435513914
full,once,19,long_2_6s,LS,77,55,71.42857142857143,74.43656120477465
full,once,19,long_2_6s,LL,115,35,30.434782608695652,57.786708421163944
full,once,19,full_population,SS,288,271,94.09722222222223,87.83930497359606
full,once,19,full_population,SL,384,367,95.57291666666667,96.59606233631115
full,once,19,full_population,LS,288,204,70.83333333333333,63.86447468848976
full,once,19,full_population,LL,384,119,30.989583333333332,55.06586005792838
