scenario,policy,seed,window,profile,count,passed,percent
semi,aggressive,43,long_2_6s,80:4096,20,20,100.0
semi,aggressive,43,full_population,128:1024,32,27,84.375
semi,aggressive,43,full_population,128:2048,32,32,100.0
semi,aggressive,43,full_population,128:256,32,25,78.125
semi,aggressive,43,full_population,128:4096,64,64,100.0
semi,aggressive,43,full_population,160:1024,32,27,84.375
semi,aggressive,43,full_population,160:2048,32,32,100.0
semi,aggressive,43,full_population,160:256,32,30,93.75
semi,aggressive,43,full_population,160:4096,64,64,100.0
semi,aggressive,43,full_population,200:1024,32,32,100.0
semi,aggressive,43,full_population,200:2048,32,32,100.0
semi,aggressive,43,full_population,200:256,32,31,96.875
semi,aggressive,43,full_population,200:4096,64,64,100.0
semi,aggressive,43,full_population,32:1024,32,31,96.875
semi,aggressive,43,full_population,32:2048,32,30,93.75
semi,aggressive,43,full_population,32:256,32,30,93.75
semi,aggressive,43,full_population,32:4096,64,64,100.0
semi,aggressive,43,full_population,64:1024,32,31,96.875
semi,aggressive,43,full_population,64:2048,32,32,100.0
semi,aggressive,43,full_population,64:256,32,31,96.875
semi,aggressive,43,full_population,64:4096,64,64,100.0
semi,aggressive,43,full_population,80:1024,32,29,90.625
semi,aggressive,43,full_population,80:2048,32,32,100.0
semi,aggressive,43,full_population,80:256,32,30,93.75
semi,aggressive,43,full_population,80:4096,64,64,100.0
semi,aggressive,7,warm_2_4s,128:1024,6,6,100.0
semi,aggressive,7,warm_2_4s,128:2048,4,4,100.0
semi,aggressive,7,warm_2_4s,128:256,4,4,100.0
semi,aggressive,7,warm_2_4s,128:4096,7,7,100.0
semi,aggressive,7,warm_2_4s,160:1024,4,4,100.0
semi,aggressive,7,warm_2_4s,160:2048,5,5,100.0
semi,aggressive,7,warm_2_4s,160:256,7,7,100.0
semi,aggressive,7,warm_2_4s,160:4096,10,10,100.0
semi,aggressive,7,warm_2_4s,200:1024,8,8,100.0
semi,aggressive,7,warm_2_4s,200:2048,6,6,100.0
semi,aggressive,7,warm_2_4s,200:256,6,6,100.0
semi,aggressive,7,warm_2_4s,200:4096,14,14,100.0
semi,aggressive,7,warm_2_4s,32:1024,10,10,100.0
semi,aggressive,7,warm_2_4s,32:2048,8,8,100.0
semi,aggressive,7,warm_2_4s,32:256,5,5,100.0
semi,aggressive,7,warm_2_4s,32:4096,12,12,100.0
semi,aggressive,7,warm_2_4s,64:1024,6,6,100.0
semi,aggressive,7,warm_2_4s,64:2048,8,8,100.0
semi,aggressive,7,warm_2_4s,64:256,7,7,100.0
semi,aggressive,7,warm_2_4s,64:4096,11,11,100.0
semi,aggressive,7,warm_2_4s,80:1024,9,9,100.0
semi,aggressive,7,warm_2_4s,80:2048,5,5,100.0
semi,aggressive,7,warm_2_4s,80:256,4,4,100.0
semi,aggressive,7,warm_2_4s,80:4096,14,14,100.0
semi,aggressive,7,long_2_6s,128:1024,10,10,100.0
semi,aggressive,7,long_2_6s,128:2048,9,9,100.0
semi,aggressive,7,long_2_6s,128:256,9,9,100.0
semi,aggressive,7,long_2_6s,128:4096,22,22,100.0
semi,aggressive,7,long_2_6s,160:1024,9,9,100.0
semi,aggressive,7,long_2_6s,160:2048,13,13,100.0
semi,aggressive,7,long_2_6s,160:256,11,11,100.0
semi,aggressive,7,long_2_6s,160:4096,22,22,100.0
semi,aggressive,7,long_2_6s,200:1024,13,13,100.0
semi,aggressive,7,long_2_6s,200:2048,12,12,100.0
semi,aggressive,7,long_2_6s,200:256,12,12,100.0
semi,aggressive,7,long_2_6s,200:4096,23,23,100.0
semi,aggressive,7,long_2_6s,32:1024,15,15,100.0
semi,aggressive,7,long_2_6s,32:2048,11,11,100.0
semi,aggressive,7,long_2_6s,32:256,10,10,100.0
semi,aggressive,7,long_2_6s,32:4096,24,24,100.0
semi,aggressive,7,long_2_6s,64:1024,9,9,100.0
semi,aggressive,7,long_2_6s,64:2048,14,14,100.0
semi,aggressive,7,long_2_6s,64:256,12,12,100.0
semi,aggressive,7,long_2_6s,64:4096,22,22,100.0
semi,aggressive,7,long_2_6s,80:1024,12,12,100.0
semi,aggressive,7,long_2_6s,80:2048,11,11,100.0
semi,aggressive,7,long_2_6s,80:256,11,11,100.0
semi,aggressive,7,long_2_6s,80:4096,24,24,100.0
semi,aggressive,7,full_population,128:1024,32,30,93.75
semi,aggressive,7,full_population,128:2048,32,32,100.0
semi,aggressive,7,full_population,128:256,32,27,84.375
semi,aggressive,7,full_population,128:4096,64,64,100.0
semi,aggressive,7,full_population,160:1024,32,29,90.625
semi,aggressive,7,full_population,160:2048,32,32,100.0
semi,aggressive,7,full_population,160:256,32,28,87.5
semi,aggressive,7,full_population,160:4096,64,64,100.0
semi,aggressive,7,full_population,200:1024,32,32,100.0
semi,aggressive,7,full_population,200:2048,32,32,100.0
semi,aggressive,7,full_population,200:256,32,30,93.75
semi,aggressive,7,full_population,200:4096,64,64,100.0
semi,aggressive,7,full_population,32:1024,32,32,100.0
semi,aggressive,7,full_population,32:2048,32,32,100.0
semi,aggressive,7,full_population,32:256,32,32,100.0
semi,aggressive,7,full_population,32:4096,64,64,100.0
semi,aggressive,7,full_population,64:1024,32,32,100.0
semi,aggressive,7,full_population,64:2048,32,32,100.0
semi,aggressive,7,full_population,64:256,32,32,100.0
semi,aggressive,7,full_population,64:4096,64,64,100.0
semi,aggressive,7,full_population,80:1024,32,31,96.875
semi,aggressive,7,full_population,80:2048,32,32,100.0
semi,aggressive,7,full_population,80:256,32,32,100.0
semi,aggressive,7,full_population,80:4096,64,64,100.0
semi,asu_baseline,19,warm_2_4s,128:1024,3,3,100.0
semi,asu_baseline,19,warm_2_4s,128:2048,5,5,100.0
semi,asu_baseline,19,warm_2_4s,128:256,4,3,75.0
semi,asu_baseline,19,warm_2_4s,128:4096,15,15,100.0
semi,asu_baseline,19,warm_2_4s,160:1024,8,8,100.0
semi,asu_baseline,19,warm_2_4s,160:2048,12,12,100.0
semi,asu_baseline,19,warm_2_4s,160:256,3,3,100.0
semi,asu_baseline,19,warm_2_4s,160:4096,7,7,100.0
semi,asu_baseline,19,warm_2_4s,200:1024,6,6,100.0
semi,asu_baseline,19,warm_2_4s,200:2048,6,6,100.0
semi,asu_baseline,19,warm_2_4s,200:256,6,6,100.0
