scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,od_baseline,7,long_2_6s,0,40,119.90074575495227,65.78125723175347,159.72439969770795,100.0,36.586585998535156,91.46646499633789
full,od_baseline,7,long_2_6s,1,40,131.56707204989243,73.32477069249566,175.44039107199058,100.0,40.0,100.0
full,od_baseline,7,long_2_6s,2,40,127.93969786375501,72.42202782407225,167.7685282291986,100.0,39.096995731213944,97.74248932803486
full,od_baseline,7,full_population,0,40,117.95625373701148,0.4285270984585914,181.22727354185463,98.01827044179919,35.79404978329597,89.48512445823992
full,od_baseline,7,full_population,1,40,129.77497145479433,0.4813592064884351,202.261783729568,98.04820162812553,39.31462418656518,98.28656046641296
full,od_baseline,7,full_population,2,40,126.29857624911436,0.4050461615564547,195.93587804597124,98.01827044179919,38.370769166126,95.926922915315
full,once,19,warm_2_4s,0,40,63.78877072345332,42.975382818759115,95.27060507616568,100.0,36.55064382542627,91.37660956356567
full,once,19,warm_2_4s,1,40,69.86598274120043,47.50142584032915,106.48331114310582,100.0,40.0,100.0
full,once,19,warm_2_4s,2,40,68.09129637378807,47.00628650787974,103.23996544844042,100.0,38.9229278564453,97.30731964111324
full,once,19,long_2_6s,0,40,60.39080493665101,34.83099879004207,95.27060507616568,98.98850003160243,36.48755645751953,91.21889114379883
full,once,19,long_2_6s,1,40,66.14547856204065,38.340328738311854,106.48331114310582,99.13577848547834,40.0,100.0
full,once,19,long_2_6s,2,40,64.5246533597519,37.323559649404935,103.23996544844042,99.13577848547834,39.03584671020507,97.58961677551267
full,once,19,full_population,0,40,61.850648677251435,1.1447945516052744,174.93511796171242,94.84043086877199,35.062745429322966,87.65686357330742
full,once,19,full_population,1,40,67.83663328699852,1.1723985964047312,193.2136227104366,95.28385382292268,38.51139135830151,96.27847839575378
full,once,19,full_population,2,40,66.21958547310017,1.1511638897826115,181.92009676556364,95.28385382292268,37.58682013754818,93.96705034387045
full,once,43,warm_2_4s,0,40,64.56469493393853,42.67596624612123,97.13738241273181,100.0,36.284126281738274,90.71031570434569
full,once,43,warm_2_4s,1,40,70.88159153094551,46.52976790681465,105.20233666333908,100.0,40.0,100.0
full,once,43,warm_2_4s,2,40,68.58885957849866,44.73893459767463,100.9846723763213,100.0,38.897583007812486,97.24395751953121
full,once,43,long_2_6s,0,40,61.652429568604845,35.70774933424988,98.88815020111987,98.63132966674789,36.12544246316765,90.31360615791914
full,once,43,long_2_6s,1,40,68.1545635565383,40.0869318057496,105.20233666333908,100.0,40.0,100.0
