npu,request_id,next_request_id,role,compute_layer,read_layer,start_ms,end_ms,D_ms,C_ms,deadline_ms,clipped_start_ms,clipped_end_ms,window_ms,actual_window_compute_ms,group,same_request,complete_cycle,V_GiB,B_GiB_s,mean_b_GiB_s,r
29,29000010,29000010,B,1,2,2392.7237272169773,2421.316569212858,28.592841995880917,28.592841995880917,2421.316569212858,2392.7237272169773,2421.316569212858,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,2,3,2421.316569212858,2449.909411208739,28.592841995880917,28.592841995880917,2449.909411208739,2421.316569212858,2449.909411208739,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,3,4,2449.909411208739,2478.50225320462,28.592841995880917,28.592841995880917,2478.50225320462,2449.909411208739,2478.50225320462,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,4,5,2478.50225320462,2507.095095200501,28.592841995880917,28.592841995880917,2507.095095200501,2478.50225320462,2507.095095200501,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,5,6,2507.095095200501,2535.687937196382,28.592841995880917,28.592841995880917,2535.687937196382,2507.095095200501,2535.687937196382,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,6,7,2535.687937196382,2564.280779192263,28.592841995880917,28.592841995880917,2564.280779192263,2535.687937196382,2564.280779192263,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000010,B,7,8,2564.280779192263,2592.8736211881437,28.592841995880917,28.592841995880917,2592.8736211881437,2564.280779192263,2592.8736211881437,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000010,29000011,B,8,1,2592.8736211881437,2621.4664631840246,28.592841995880917,28.592841995880917,2621.4664631840246,2592.8736211881437,2621.4664631840246,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
29,29000011,29000011,B,1,2,2621.4664631840246,2650.0593051799056,28.592841995880917,28.592841995880917,2650.0593051799056,2621.4664631840246,2650.0593051799056,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,2,3,2650.0593051799056,2678.6521471757865,28.592841995880917,28.592841995880917,2678.6521471757865,2650.0593051799056,2678.6521471757865,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,3,4,2678.6521471757865,2707.2449891716674,28.592841995880917,28.592841995880917,2707.2449891716674,2678.6521471757865,2707.2449891716674,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,4,5,2707.2449891716674,2735.8378311675483,28.592841995880917,28.592841995880917,2735.8378311675483,2707.2449891716674,2735.8378311675483,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,5,6,2735.8378311675483,2764.430673163429,28.592841995880917,28.592841995880917,2764.430673163429,2735.8378311675483,2764.430673163429,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,6,7,2764.430673163429,2793.02351515931,28.592841995880917,28.592841995880917,2793.02351515931,2764.430673163429,2793.02351515931,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000011,B,7,8,2793.02351515931,2821.616357155191,28.592841995880917,28.592841995880917,2821.616357155191,2793.02351515931,2821.616357155191,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000011,29000012,B,8,1,2821.616357155191,2850.209199151072,28.592841995880917,28.592841995880917,2850.209199151072,2821.616357155191,2850.209199151072,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
29,29000012,29000012,A,1,2,2850.209199151072,2877.7719815448395,27.56278239376752,6.024011548588987,2856.233210699661,2850.209199151072,2877.7719815448395,27.56278239376752,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,6.223584549265729,0.21855600289291305
29,29000012,29000012,A,2,3,2877.7719815448395,2912.0798428729645,34.307861328125,6.024011548588987,2883.7959930934285,2877.7719815448395,2912.0798428729645,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000012,A,3,4,2912.0798428729645,2946.3877042010895,34.307861328125,6.024011548588987,2918.1038544215535,2912.0798428729645,2946.3877042010895,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000012,A,4,5,2946.3877042010895,2980.6955655292145,34.307861328125,6.024011548588987,2952.4117157496785,2946.3877042010895,2980.6955655292145,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000012,A,5,6,2980.6955655292145,3015.0034268573395,34.307861328125,6.024011548588987,2986.7195770778035,2980.6955655292145,3015.0034268573395,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000012,A,6,7,3015.0034268573395,3049.3112881854645,34.307861328125,6.024011548588987,3021.0274384059285,3015.0034268573395,3049.3112881854645,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000012,A,7,8,3049.3112881854645,3083.6191495135895,34.307861328125,6.024011548588987,3055.3352997340535,3049.3112881854645,3083.6191495135895,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
29,29000012,29000013,A,8,1,3083.6191495135895,3096.8353970721832,13.21624755859375,6.024011548588987,3089.6431610621785,3083.6191495135895,3096.8353970721832,13.21624755859375,6.024011548588987,gray,False,True,0.171539306640625,28.475925926935663,,
29,29000013,29000013,B,1,2,3096.8353970721832,3125.428239068064,28.592841995880917,28.592841995880917,3125.428239068064,3096.8353970721832,3125.428239068064,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,2,3,3125.428239068064,3154.021081063945,28.592841995880917,28.592841995880917,3154.021081063945,3125.428239068064,3154.021081063945,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,3,4,3154.021081063945,3182.613923059826,28.592841995880917,28.592841995880917,3182.613923059826,3154.021081063945,3182.613923059826,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,4,5,3182.613923059826,3211.206765055707,28.592841995880917,28.592841995880917,3211.206765055707,3182.613923059826,3211.206765055707,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,5,6,3211.206765055707,3239.799607051588,28.592841995880917,28.592841995880917,3239.799607051588,3211.206765055707,3239.799607051588,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,6,7,3239.799607051588,3268.3924490474687,28.592841995880917,28.592841995880917,3268.3924490474687,3239.799607051588,3268.3924490474687,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000013,B,7,8,3268.3924490474687,3296.9852910433497,28.592841995880917,28.592841995880917,3296.9852910433497,3268.3924490474687,3296.9852910433497,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000013,29000014,B,8,1,3296.9852910433497,3325.5781330392306,28.592841995880917,28.592841995880917,3325.5781330392306,3296.9852910433497,3325.5781330392306,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
29,29000014,29000014,B,1,2,3325.5781330392306,3354.1709750351115,28.592841995880917,28.592841995880917,3354.1709750351115,3325.5781330392306,3354.1709750351115,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000014,29000014,B,2,3,3354.1709750351115,3382.7638170309924,28.592841995880917,28.592841995880917,3382.7638170309924,3354.1709750351115,3382.7638170309924,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000014,29000014,B,3,4,3382.7638170309924,3411.3566590268733,28.592841995880917,28.592841995880917,3411.3566590268733,3382.7638170309924,3411.3566590268733,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
29,29000014,29000014,B,4,5,3411.3566590268733,3439.9495010227542,28.592841995880917,28.592841995880917,3439.9495010227542,3411.3566590268733,3439.9495010227542,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
