experiment,case,ssu,seed,strategy,seq_len_k,nql,share_of_total_compute,request_count,compute_ms,processing_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,mean_io_stall_ms,mean_admission_wait_ms,admission_slo_passed,arrival_slo_passed
coflow,npu32_ssu6_arrival218_seed20260907_strategy3,6,20260907,strategy3,192,1024,0.18576762192341098,96,26189.400310814995,27667.22769883876,0.9465856353910806,0.9524491203125552,0.6530533062999119,15.394035291914202,713.2687078472995,95,7
coflow,npu32_ssu6_arrival218_seed20260907_strategy3,6,20260907,strategy3,192,2048,0.6179054772998038,160,87111.91827562709,88631.6937849384,0.98285291136375,0.9835071554041482,0.8453125222999677,9.49859693319586,646.0920313973664,160,17
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,32,128,0.00855656167132576,128,1206.2985819289636,2728.725440103999,0.4420740042952025,0.5944156485866656,0.1262552619069789,11.893959829492593,812.9861926228185,57,0
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,32,256,0.00725432155228549,64,1022.7096043384022,1532.3512712285553,0.6674119854506008,0.7959471013628818,0.21328567354088962,7.963151045158145,813.1848572717835,49,0
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,64,512,0.023194043825860464,64,3269.8814373178748,3471.2343095898073,0.941993868948672,0.9568628789016775,0.5672721840395385,3.1461386292485995,839.8354498900843,61,0
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,96,512,0.03294291466210599,64,4644.271001362178,4810.037482684233,0.9655373826256446,0.9705509707168906,0.6860982909582239,2.5901012706567528,825.1439919934973,64,2
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,192,512,0.12437905906521143,128,17534.880052909888,17829.86112697636,0.9834557839813923,0.9843638095580566,0.8066618523355501,2.3045396411445114,806.228051226403,128,2
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,192,1024,0.18576762192341098,96,26189.400310814995,26536.808015013645,0.9869084592238035,0.9874773820815008,0.9215574344348638,3.618830252068817,719.8841439048402,96,9
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,192,2048,0.6179054772998038,160,87111.91827562709,87516.90041764342,0.9953725264482208,0.9954654227941198,0.9594414886088048,2.5311383876026103,680.9308015721252,160,20
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,32,128,0.00855656167132576,128,1206.2985819289636,1248.5550590373305,0.9661556958962244,0.9799762624108774,0.5442471236117765,0.330128727409237,804.7624110068493,122,0
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,32,256,0.00725432155228549,64,1022.7096043384022,1028.8434178065231,0.9940381467558999,0.9949716983842933,0.8292990668893016,0.0958408354388915,800.4789436493178,64,2
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,64,512,0.023194043825860464,64,3269.8814373178748,3284.938567323826,0.9954163130611547,0.9956228513586065,0.9168803358663523,0.2352676563426505,823.8746549030236,64,3
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,96,512,0.03294291466210599,64,4644.271001362178,5275.982172309031,0.8802666213956548,0.9104431819103043,0.4777284839304942,9.870487046044188,806.8661891151859,57,0
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,192,512,0.12437905906521143,128,17534.880052909888,18143.300218763266,0.9664658491830407,0.9694405599788256,0.7133497635281307,4.753282545729621,789.0941675259793,128,6
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,192,1024,0.18576762192341098,96,26189.400310814995,26739.218878400825,0.979437747598904,0.9811100128277634,0.8651343725876185,5.7272767456852955,704.1206873771334,96,10
coflow,npu32_ssu7_arrival218_seed20260906_new_once,7,20260906,new_once,192,2048,0.6179054772998038,160,87111.91827562709,87883.71827758382,0.9912179409669608,0.9915702945305392,0.9283376708169417,4.823750012229927,665.6214008838125,160,23
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,32,128,0.00855656167132576,128,1206.2985819289636,1272.0585797045542,0.9483042692964156,0.9744961115861076,0.4037007231521828,0.5137499826219206,810.8429552950465,122,0
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,32,256,0.00725432155228549,64,1022.7096043384022,1037.8540119133436,0.9854079596926915,0.9894139744267146,0.6620743276700356,0.23663136835796222,806.5708614889814,63,1
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,64,512,0.023194043825860464,64,3269.8814373178748,3285.1997836506157,0.9953371644522274,0.9955157752202922,0.9223657906385109,0.23934916144873225,832.0050096791421,64,3
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,96,512,0.03294291466210599,64,4644.271001362178,5336.388482943774,0.870302268323652,0.8997707355947226,0.4599204089489301,10.814335649712065,814.3533756898781,58,0
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,192,512,0.12437905906521143,128,17534.880052909888,18560.627194635133,0.9447353189647744,0.9507924862417783,0.6628418224122964,8.013649544728647,794.1218704687107,127,4
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,192,1024,0.18576762192341098,96,26189.400310814995,26752.074534552106,0.9789670807394627,0.9807950221850198,0.8454103936976809,5.861189830594504,710.4757036700021,96,11
coflow,npu32_ssu7_arrival218_seed20260906_once,7,20260906,once,192,2048,0.6179054772998038,160,87111.91827562709,87857.12454014146,0.9915179757086872,0.991851219534337,0.9255635676959384,4.65753915321537,671.980120508589,160,22
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,32,128,0.00855656167132576,128,1206.2985819289636,1267.0052941287597,0.9520864573485935,0.9741260914508878,0.4094252521057416,0.4742711890610345,729.551333868739,122,0
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,32,256,0.00725432155228549,64,1022.7096043384022,1045.0893391458435,0.9785858165716891,0.9855843161680066,0.6013449848181981,0.3496833563657697,741.8136483555357,62,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,64,512,0.023194043825860464,64,3269.8814373178748,3308.1997923813715,0.9884171581318207,0.9898505268271109,0.8026230392418611,0.5987242978668377,763.3836271862505,64,3
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,96,512,0.03294291466210599,64,4644.271001362178,4720.680690178763,0.983813840877746,0.9855978231871109,0.7849528557210611,1.1939013877587552,751.0248307090899,64,2
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,192,512,0.12437905906521143,128,17534.880052909888,18142.633102665757,0.9665013867437704,0.9724390783896018,0.6556677058579152,4.7480707012179835,723.321427363466,127,7
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,192,1024,0.18576762192341098,96,26189.400310814995,26571.129906456023,0.9856336709434296,0.9868745094645989,0.8231980715220615,3.976349954593607,683.436649566127,96,8
coflow,npu32_ssu7_arrival218_seed20260906_strategy1,7,20260906,strategy1,192,2048,0.6179054772998038,160,87111.91827562709,87587.52055167152,0.9945699767153032,0.9947188608556591,0.942625098149371,2.972514225277903,673.3257250886884,160,20
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,32,128,0.00855656167132576,128,1206.2985819289636,1264.786488196841,0.9537566958425834,0.9749295609387435,0.4555119153536843,0.45693676771791913,728.6586349487222,122,0
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,32,256,0.00725432155228549,64,1022.7096043384022,1046.0280336526791,0.9777076439979815,0.9848071428757189,0.6329880909072422,0.3643504580350812,738.3332110098892,62,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,64,512,0.023194043825860464,64,3269.8814373178748,3310.2355657686635,0.9878092879950621,0.9895021290882505,0.807216902315263,0.6305332570432688,763.726103154422,64,3
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,96,512,0.03294291466210599,64,4644.271001362178,4738.133396338842,0.9801900058260935,0.9853965656534261,0.6542054250124064,1.466599921510005,746.5839686278609,62,0
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,192,512,0.12437905906521143,128,17534.880052909888,18010.00732041473,0.9736187076966774,0.9780386871310135,0.6820644811625062,3.7119317773818326,722.9714852226499,128,8
