experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0,1000,64,512,459.82707712282604,578.5561766937834,0.014369596160088314,0.018079880521680733,0.7947838008584636,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0,1000,96,512,798.2340783591249,891.1209245486169,0.02494481494872265,0.02784752889214428,0.8957640387172566,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0,1000,192,512,3270.5718509180465,3398.519125525312,0.10220537034118896,0.106203722672666,0.9623520510312006,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0,1000,192,1024,7191.918534008406,7447.532646460595,0.22474745418776268,0.2327353952018936,0.9656780138354051,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0,1000,192,2048,18074.727259914238,18334.683809138292,0.5648352268723199,0.5729588690355716,0.9858215962745707,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,32,128,230.10645579936158,488.653853900478,0.00719082674373005,0.015270432934389937,0.47089868208882757,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,32,256,255.6774010845984,342.26887021888706,0.0079899187838937,0.010695902194340221,0.7470074649823927,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,64,512,776.2244511698007,795.7610662447175,0.02425701409905627,0.024867533320147423,0.9754491443428964,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,96,512,1171.2271400500279,1189.0406902744792,0.03660084812656337,0.037157521571077476,0.9850185528803567,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,192,512,4367.407341218071,4429.661079817988,0.13648147941306474,0.13842690874431213,0.9859461621378774,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,192,1024,4400.098160070221,4410.5935274919275,0.1375030675021944,0.13783104773412275,0.9976204183504357,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,1000,2000,192,2048,20308.64289202571,20344.02091205152,0.6346450903758034,0.6357506535016101,0.9982610114205667,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,32,128,245.0293994543174,313.3408827998662,0.007657168732947419,0.00979190258749582,0.7819898803655952,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,32,256,239.69756351683827,266.1265893927007,0.007490548859901196,0.008316455918521896,0.9006900214812308,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,64,512,603.2567801986736,603.2567801986736,0.01885177438120855,0.01885177438120855,1.0,True
