regime,policy,ratio,macro_cdf
full,baseline,1.0384143003461708,0.14032361399698898
full,baseline,1.0384224635962036,0.14201566137431554
full,baseline,1.040700905744959,0.14363378435166183
full,baseline,1.0412527432227647,0.14532583172898839
full,baseline,1.0415810554068363,0.14694395470633467
full,baseline,1.0416831345168691,0.14873606940167516
full,baseline,1.042662031166065,0.15035419237902145
full,baseline,1.0430204035773925,0.152046239756348
full,baseline,1.0434970075352188,0.1536643627336943
full,baseline,1.0452739828126145,0.15528248571104056
full,baseline,1.0459148574579833,0.15697453308836715
full,baseline,1.0475288882221991,0.1585926560657134
full,baseline,1.0498596637780837,0.1602107790430597
full,baseline,1.0513563542099016,0.16190282642038625
full,baseline,1.052208791978407,0.16352094939773254
full,baseline,1.052289817028931,0.1652129967750591
full,baseline,1.0523126331348798,0.16683111975240536
full,baseline,1.0527256285691227,0.16862323444774585
full,baseline,1.0542617480922054,0.17024135742509214
full,baseline,1.0547976046347793,0.17193340480241873
full,baseline,1.0551358911588797,0.17372551949775925
full,baseline,1.05589739851713,0.1753436424751055
full,baseline,1.0567518452512787,0.1769617654524518
full,baseline,1.0583513914369307,0.17857988842979808
full,baseline,1.0584196385297953,0.1802719358071246
full,baseline,1.0586551565873041,0.18189005878447087
full,baseline,1.059405528497315,0.1836821734798114
full,baseline,1.0602456368260298,0.18537422085713795
full,baseline,1.0603492417789122,0.1870662682344645
full,baseline,1.062063014286296,0.18885838292980503
full,baseline,1.0626312042383692,0.1905504303071316
full,baseline,1.0632241164885712,0.19234254500247208
full,baseline,1.0636717283465356,0.19403459237979867
full,baseline,1.0639051008576652,0.19582670707513916
full,baseline,1.0639419048892995,0.19751875445246572
full,baseline,1.0669708470048453,0.19931086914780624
full,baseline,1.0679268635769903,0.20110298384314673
full,baseline,1.0683218543601398,0.20289509853848722
full,baseline,1.0688964873767806,0.20468721323382774
full,baseline,1.0705423510699592,0.20647932792916823
full,baseline,1.0708533558698998,0.20827144262450872
full,baseline,1.072683888210662,0.209889565601855
full,baseline,1.0729785428713465,0.21150768857920133
full,baseline,1.0751601271882523,0.2131258115565476
full,baseline,1.075706831696606,0.2149179262518881
full,baseline,1.0762866323868834,0.2165360492292344
full,baseline,1.0771952984946023,0.21815417220658065
full,baseline,1.077292882435994,0.21994628690192117
full,baseline,1.0773704616825703,0.22173840159726166
full,baseline,1.081769281990766,0.22353051629260215
full,baseline,1.0822182653423875,0.22514863926994844
full,baseline,1.0826768768242843,0.226840686647275
full,baseline,1.08408603350138,0.22845880962462128
full,baseline,1.0890406685482348,0.23007693260196757
full,baseline,1.0917497746884588,0.2317689799792941
full,baseline,1.092445576818726,0.23338710295664036
full,baseline,1.0969776182664843,0.23507915033396695
full,baseline,1.0972256603104593,0.23687126502930744
full,baseline,1.09890090318747,0.23848938800665373
full,baseline,1.100795275689796,0.240107510984
full,baseline,1.1052332123797581,0.24172563396134628
full,baseline,1.1076316697302657,0.24351774865668677
full,baseline,1.108747976762805,0.24520979603401336
full,baseline,1.109385307509513,0.24682791901135961
full,baseline,1.1167689583195075,0.2485199663886862
full,baseline,1.1171075806995858,0.2501380893660325
full,baseline,1.1174816135729109,0.25175621234337875
full,baseline,1.1200251198668991,0.25354832703871927
full,baseline,1.1228147265317039,0.2551664500160655
full,baseline,1.1230125754224314,0.25695856471140605
full,baseline,1.1260583791252001,0.2585766876887523
full,baseline,1.1281127107445763,0.2603688023840928
full,baseline,1.128666626061735,0.2619869253614391
full,baseline,1.130223711717367,0.26360504833878534
full,baseline,1.130562691599743,0.26539716303412586
full,baseline,1.131882308425481,0.26708921041145245
full,baseline,1.133896167035489,0.2688813251067929
full,baseline,1.1346531304155414,0.2705733724841195
full,baseline,1.1390601122099393,0.27219149546146576
full,baseline,1.1393570961313855,0.2738835428387923
full,baseline,1.1418113429245946,0.2756756575341328
full,baseline,1.1420752690481748,0.27746777222947333
full,baseline,1.142196081052493,0.2791598196067999
full,baseline,1.1424753268000034,0.28085186698412645
full,baseline,1.1510813583222141,0.28264398167946697
full,baseline,1.1518622151337932,0.28433602905679356
full,baseline,1.1588963487111175,0.2861281437521341
